Congress,Majority, votenum, min_vote,maj_vote,if_partisan,case_num,bill_num,vote_name, bill_name,more,more1 
116, rep, 40, 6, 1, 1,2, PN78, Nomination Confirmed, John Fleming; of Louisiana; to be Assistant Secretary of Commerce for Economic Development, On the Nomination, nan
116, rep, 41, 6, 1, 1,0, PN236, Cloture Motion Agreed to, Paul B. Matey; of New Jersey; to be United States Circuit Judge for the Third Circuit, On the Cloture Motion, nan
116, rep, 42, 6, 1, 1,0, PN236, Nomination Confirmed, Paul B. Matey; of New Jersey; to be United States Circuit Judge for the Third Circuit, On the Nomination, nan
116, rep, 43, 6, 1, 1,0, PN247, Cloture Motion Agreed to, Neomi J. Rao; of the District of Columbia; to be United States Circuit Judge for the District of Columbia Circuit, On the Cloture Motion, nan
116, rep, 44, 6, 1, 1,0, PN247, Nomination Confirmed, Neomi J. Rao; of the District of Columbia; to be United States Circuit Judge for the District of Columbia Circuit, On the Nomination, nan
116, rep, 45, 6, 1, 1,0, PN171, Cloture Motion Agreed to, William Beach; of Kansas; to be Commissioner of Labor Statistics; Department of Labor; for a term of four years, On the Cloture Motion, nan
116, rep, 46, 6, 1, 1,0, PN171, Nomination Confirmed, William Beach; of Kansas; to be Commissioner of Labor Statistics; Department of Labor; for a term of four years, On the Nomination, nan
116, rep, 47, 1, 6, 1,0, SJRES7, Motion to Table Agreed to, To provide an exception for supporting efforts to defend against ballistic missile; cruise missile; and unmanned aerial vehicle threats to civilian population centers in coalition countries; including locations where citizens and nationals of the United States reside., On the Motion to Table, nan
116, rep, 48, 1, 6, 1,3, SJRES7, Joint Resolution Passed, A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress., On the Joint Resolution, nan
116, rep, 49, 1, 6, 1,3, HJRES46, Joint Resolution Passed, A joint resolution relating to a national emergency declared by the President on February 15; 2019., On the Joint Resolution, nan
116, rep, 50, 1, 1, 0,1, PN213, Cloture Motion Agreed to, Bridget S. Bade; of Arizona; to be United States Circuit Judge for the Ninth Circuit, On the Cloture Motion, nan
116, rep, 51, 1, 1, 0,1, PN213, Nomination Confirmed, Bridget S. Bade; of Arizona; to be United States Circuit Judge for the Ninth Circuit, On the Nomination, nan
116, rep, 52, 6, 6, 0,0, SJRES8, Cloture Motion Rejected, A joint resolution recognizing the duty of the Federal Government to create a Green New Deal., On the Cloture Motion, nan
116, rep, 53, 1, 1, 0,1, HR268, Cloture Motion Agreed to, A bill making supplemental appropriations for the fiscal year ending September 30; 2019; and for other purposes., On the Cloture Motion, nan
116, rep, 54, 1, 1, 0,1, PN2, Nomination Confirmed, Nicole R. Nason; of New York; to be Administrator of the Federal Highway Administration, On the Nomination, nan
116, rep, 55, 6, 1, 1,0, HR268, Cloture Motion Rejected, In the nature of a substitute., On the Cloture Motion, nan
116, rep, 56, 1, 6, 1,0, HR268, Cloture Motion Rejected, A bill making supplemental appropriations for the fiscal year ending September 30; 2019; and for other purposes., On the Cloture Motion, nan
116, rep, 57, 6, 1, 1,0, SRES50, Cloture on the Motion to Proceed Rejected, A resolution improving procedures for the consideration of nominations in the Senate., On Cloture on the Motion to Proceed, nan
116, rep, 58, 1, 1, 0,1, PN92, Cloture Motion Agreed to, Jeffrey Kessler; of Virginia; to be an Assistant Secretary of Commerce, On the Cloture Motion, nan
116, rep, 59, 1, 6, 1,0, PN92, Decision of Chair Not Sustained, Jeffrey Kessler; of Virginia; to be an Assistant Secretary of Commerce, On the Decision of the Chair, nan
116, rep, 60, 6, 1, 1,2, PN211, Cloture Motion Agreed to, Roy Kalman Altman; of Florida; to be United States District Judge for the Southern District of Florida, On the Cloture Motion, nan
116, rep, 61, 1, 6, 1,0, PN211, Decision of Chair Not Sustained, Roy Kalman Altman; of Florida; to be United States District Judge for the Southern District of Florida, On the Decision of the Chair, nan
116, rep, 62, 6, 1, 1,2, PN211, Nomination Confirmed, Roy Kalman Altman; of Florida; to be United States District Judge for the Southern District of Florida, On the Nomination, nan
116, rep, 63, 6, 1, 1,0, PN1, Cloture Motion Agreed to, Mark Anthony Calabria; of Virginia; to be Director of the Federal Housing Finance Agency for a term of five years, On the Cloture Motion, nan
116, rep, 64, 6, 1, 1,0, PN1, Nomination Confirmed, Mark Anthony Calabria; of Virginia; to be Director of the Federal Housing Finance Agency for a term of five years, On the Nomination, nan
116, rep, 65, 6, 1, 1,0, PN228, Cloture Motion Agreed to, Daniel Desmond Domenico; of Colorado; to be United States District Judge for the District of Colorado, On the Cloture Motion, nan
116, rep, 66, 6, 1, 1,0, PN228, Nomination Confirmed, Daniel Desmond Domenico; of Colorado; to be United States District Judge for the District of Colorado, On the Nomination, nan
116, rep, 67, 6, 1, 1,0, PN258, Cloture Motion Agreed to, Patrick R. Wyrick; of Oklahoma; to be United States District Judge for the Western District of Oklahoma, On the Cloture Motion, nan
116, rep, 68, 6, 1, 1,0, PN258, Nomination Confirmed, Patrick R. Wyrick; of Oklahoma; to be United States District Judge for the Western District of Oklahoma, On the Nomination, nan
116, rep, 69, 6, 1, 1,0, PN179, Cloture Motion Agreed to, Cheryl Marie Stanton; of South Carolina; to be Administrator of the Wage and Hour Division; Department of Labor, On the Cloture Motion, nan
116, rep, 70, 6, 1, 1,0, PN179, Nomination Confirmed, Cheryl Marie Stanton; of South Carolina; to be Administrator of the Wage and Hour Division; Department of Labor, On the Nomination, nan
116, rep, 71, 1, 1, 0,1, PN103, Nomination Confirmed, John P. Abizaid; of Nevada; to be Ambassador to the Kingdom of Saudi Arabia, On the Nomination, nan
116, rep, 72, 6, 1, 1,0, PN222, Cloture Motion Agreed to, Holly A. Brady; of Indiana; to be United States District Judge for the Northern District of Indiana, On the Cloture Motion, nan
116, rep, 73, 6, 1, 1,0, PN222, Nomination Confirmed, Holly A. Brady; of Indiana; to be United States District Judge for the Northern District of Indiana, On the Nomination, nan
116, rep, 74, 6, 1, 1,0, PN240, Cloture Motion Agreed to, David Steven Morales; of Texas; to be United States District Judge for the Southern District of Texas, On the Cloture Motion, nan
116, rep, 75, 6, 1, 1,0, PN240, Nomination Confirmed, David Steven Morales; of Texas; to be United States District Judge for the Southern District of Texas, On the Nomination, nan
116, rep, 76, 6, 1, 1,0, PN503, Cloture Motion Agreed to, David Bernhardt; of Virginia; to be Secretary of the Interior, On the Cloture Motion, nan
116, rep, 77, 6, 1, 1,0, PN503, Nomination Confirmed, David Bernhardt; of Virginia; to be Secretary of the Interior, On the Nomination, nan
116, rep, 78, 6, 1, 1,2, PN75, Cloture Motion Agreed to, William Cooper; of Maryland; to be General Counsel of the Department of Energy, On the Cloture Motion, nan
116, rep, 79, 6, 1, 1,2, PN75, Nomination Confirmed, William Cooper; of Maryland; to be General Counsel of the Department of Energy, On the Nomination, nan
116, rep, 80, 1, 1, 0,1, PN116, Cloture Motion Agreed to, R. Clarke Cooper; of Florida; to be an Assistant Secretary of State (Political-Military Affairs), On the Cloture Motion, nan
116, rep, 81, 1, 1, 0,1, PN116, Nomination Confirmed, R. Clarke Cooper; of Florida; to be an Assistant Secretary of State (Political-Military Affairs), On the Nomination, nan
116, rep, 82, 6, 1, 1,2, PN150, Cloture Motion Agreed to, Gordon Hartogensis; of Connecticut; to be Director of the Pension Benefit Guaranty Corporation for a term of five years, On the Cloture Motion, nan
116, rep, 83, 6, 1, 1,2, PN150, Nomination Confirmed, Gordon Hartogensis; of Connecticut; to be Director of the Pension Benefit Guaranty Corporation for a term of five years, On the Nomination, nan
116, rep, 84, 6, 1, 1,0, PN217, Cloture Motion Agreed to, J. Campbell Barker; of Texas; to be United States District Judge for the Eastern District of Texas, On the Cloture Motion, nan
116, rep, 85, 6, 1, 1,0, PN217, Nomination Confirmed, J. Campbell Barker; of Texas; to be United States District Judge for the Eastern District of Texas, On the Nomination, nan
116, rep, 86, 6, 1, 1,0, PN223, Cloture Motion Agreed to, Andrew Lynn Brasher; of Alabama; to be United States District Judge for the Middle District of Alabama, On the Cloture Motion, nan
116, rep, 87, 6, 1, 1,0, PN223, Nomination Confirmed, Andrew Lynn Brasher; of Alabama; to be United States District Judge for the Middle District of Alabama, On the Nomination, nan
116, rep, 88, 1, 1, 0,1, PN250, Cloture Motion Agreed to, Rodolfo Armando Ruiz II; of Florida; to be United States District Judge for the Southern District of Florida, On the Cloture Motion, nan
116, rep, 89, 1, 1, 0,1, PN212, Cloture Motion Agreed to, Raul M. Arias-Marxuach; of Puerto Rico; to be United States District Judge for the District of Puerto Rico, On the Cloture Motion, nan
116, rep, 90, 6, 1, 1,2, PN257, Cloture Motion Agreed to, Joshua Wolson; of Pennsylvania; to be United States District Judge for the Eastern District of Pennsylvania, On the Cloture Motion, nan
116, rep, 91, 1, 1, 0,1, PN250, Nomination Confirmed, Rodolfo Armando Ruiz II; of Florida; to be United States District Judge for the Southern District of Florida, On the Nomination, nan
116, rep, 92, 1, 1, 0,1, PN212, Nomination Confirmed, Raul M. Arias-Marxuach; of Puerto Rico; to be United States District Judge for the District of Puerto Rico, On the Nomination, nan
116, rep, 93, 6, 1, 1,2, PN257, Nomination Confirmed, Joshua Wolson; of Pennsylvania; to be United States District Judge for the Eastern District of Pennsylvania, On the Nomination, nan
116, rep, 94, 1, 6, 1,3, SJRES7, Veto Sustained, A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress., On Overriding the Veto, nan
116, rep, 95, 6, 1, 1,0, PN220, Cloture Motion Agreed to, Joseph F. Bianco; of New York; to be United States Circuit Judge for the Second Circuit, On the Cloture Motion, nan
116, rep, 96, 1, 1, 0,1, PN55, Cloture Motion Agreed to, Kimberly A. Reed; of West Virginia; to be President of the Export-Import Bank of the United States for a term expiring January 20; 2021, On the Cloture Motion, nan
116, rep, 97, 1, 1, 0,1, PN47, Cloture Motion Agreed to, Spencer Bachus III; of Alabama; to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20; 2023, On the Cloture Motion, nan
116, rep, 98, 1, 1, 0,1, PN54, Cloture Motion Agreed to, Judith DelZoppo Pryor; of Ohio; to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20; 2021, On the Cloture Motion, nan
116, rep, 99, 6, 1, 1,0, PN220, Nomination Confirmed, Joseph F. Bianco; of New York; to be United States Circuit Judge for the Second Circuit, On the Nomination, nan
116, rep, 100, 1, 1, 0,1, PN55, Nomination Confirmed, Kimberly A. Reed; of West Virginia; to be President of the Export-Import Bank of the United States for a term expiring January 20; 2021, On the Nomination, nan
116, rep, 101, 1, 1, 0,1, PN47, Nomination Confirmed, Spencer Bachus III; of Alabama; to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20; 2023, On the Nomination, nan
116, rep, 102, 1, 1, 0,1, PN54, Nomination Confirmed, Judith DelZoppo Pryor; of Ohio; to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20; 2021, On the Nomination, nan
116, rep, 103, 6, 1, 1,0, PN173, Cloture Motion Agreed to, Janet Dhillon; of Pennsylvania; to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1; 2022, On the Cloture Motion, nan
116, rep, 104, 6, 1, 1,0, PN173, Nomination Confirmed, Janet Dhillon; of Pennsylvania; to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1; 2022, On the Nomination, nan
116, rep, 105, 6, 1, 1,0, PN245, Cloture Motion Agreed to, Michael H. Park; of New York; to be United States Circuit Judge for the Second Circuit, On the Cloture Motion, nan
116, rep, 106, 6, 1, 1,0, PN245, Nomination Confirmed, Michael H. Park; of New York; to be United States Circuit Judge for the Second Circuit, On the Nomination, nan
116, rep, 107, 6, 1, 1,0, PN253, Cloture Motion Agreed to, Michael J. Truncale; of Texas; to be United States District Judge for the Eastern District of Texas, On the Cloture Motion, nan
116, rep, 108, 6, 1, 1,0, PN253, Nomination Confirmed, Michael J. Truncale; of Texas; to be United States District Judge for the Eastern District of Texas, On the Nomination, nan
116, rep, 109, 6, 1, 1,0, PN373, Cloture Motion Agreed to, Kenneth Kiyul Lee; of California; to be United States Circuit Judge for the Ninth Circuit, On the Cloture Motion, nan
116, rep, 110, 6, 1, 1,0, PN373, Nomination Confirmed, Kenneth Kiyul Lee; of California; to be United States Circuit Judge for the Ninth Circuit, On the Nomination, nan
116, rep, 111, 6, 1, 1,0, PN254, Cloture Motion Agreed to, Wendy Vitter; of Louisiana; to be United States District Judge for the Eastern District of Louisiana, On the Cloture Motion, nan
116, rep, 112, 1, 1, 0,1, PN111, Cloture Motion Agreed to, Brian J. Bulatao; of Texas; to be an Under Secretary of State (Management), On the Cloture Motion, nan
116, rep, 113, 6, 1, 1,0, PN526, Cloture Motion Agreed to, Jeffrey A. Rosen; of Virginia; to be Deputy Attorney General, On the Cloture Motion, nan
116, rep, 114, 6, 1, 1,0, PN254, Nomination Confirmed, Wendy Vitter; of Louisiana; to be United States District Judge for the Eastern District of Louisiana, On the Nomination, nan
116, rep, 115, 1, 1, 0,1, PN111, Nomination Confirmed, Brian J. Bulatao; of Texas; to be an Under Secretary of State (Management), On the Nomination, nan
116, rep, 116, 6, 1, 1,0, PN526, Nomination Confirmed, Jeffrey A. Rosen; of Virginia; to be Deputy Attorney General, On the Nomination, nan
116, rep, 117, 6, 1, 1,0, PN372, Cloture Motion Agreed to, Daniel P. Collins; of California; to be United States Circuit Judge for the Ninth Circuit, On the Cloture Motion, nan
116, rep, 118, 6, 1, 1,0, PN372, Nomination Confirmed, Daniel P. Collins; of California; to be United States Circuit Judge for the Ninth Circuit, On the Nomination, nan
116, rep, 119, 6, 1, 1,0, PN244, Cloture Motion Agreed to, Howard C. Nielson; Jr.; of Utah; to be United States District Judge for the District of Utah, On the Cloture Motion, nan
116, rep, 120, 6, 1, 1,0, PN226, Cloture Motion Agreed to, Stephen R. Clark; Sr.; of Missouri; to be United States District Judge for the Eastern District of Missouri, On the Cloture Motion, nan
116, rep, 121, 6, 1, 1,0, PN243, Cloture Motion Agreed to, Carl J. Nichols; of the District of Columbia; to be United States District Judge for the District of Columbia, On the Cloture Motion, nan
116, rep, 122, 6, 1, 1,0, PN218, Cloture Motion Agreed to, Kenneth D. Bell; of North Carolina; to be United States District Judge for the Western District of North Carolina, On the Cloture Motion, nan
116, rep, 123, 6, 1, 1,0, PN244, Nomination Confirmed, Howard C. Nielson; Jr.; of Utah; to be United States District Judge for the District of Utah, On the Nomination, nan
116, rep, 124, 6, 1, 1,0, PN226, Nomination Confirmed, Stephen R. Clark; Sr.; of Missouri; to be United States District Judge for the Eastern District of Missouri, On the Nomination, nan
116, rep, 125, 6, 1, 1,0, PN243, Nomination Confirmed, Carl J. Nichols; of the District of Columbia; to be United States District Judge for the District of Columbia, On the Nomination, nan
116, rep, 126, 6, 1, 1,0, PN218, Nomination Confirmed, Kenneth D. Bell; of North Carolina; to be United States District Judge for the Western District of North Carolina, On the Nomination, nan
116, rep, 127, 1, 1, 0,1, S151, Bill Passed, A bill to deter criminal robocall violations and improve enforcement of section 227(b) of the Communications Act of 1934; and for other purposes., On Passage of the Bill, nan
116, rep, 128, 1, 1, 0,1, HR2157, Motion Agreed to, A bill making supplemental appropriations for the fiscal year ending September 30; 2019; and for other purposes., On the Motion, nan
116, rep, 129, 1, 1, 0,1, HR2157, Bill Passed, A bill making supplemental appropriations for the fiscal year ending September 30; 2019; and for other purposes., On Passage of the Bill, nan
116, rep, 130, 6, 6, 0,0, S1332, Cloture on the Motion to Proceed Rejected, A bill to set forth the congressional budget for the United States Government for fiscal year 2020 and setting forth the appropriate budgetary levels for fiscal years 2021 through 2029., On Cloture on the Motion to Proceed, nan
116, rep, 131, 1, 1, 0,1, PN94, Cloture Motion Agreed to, Andrew M. Saul; of New York; to be Commissioner of Social Security for the term expiring January 19; 2025, On the Cloture Motion, nan
116, rep, 132, 1, 1, 0,1, SRES212, Resolution Agreed to, A resolution celebrating the 100th anniversary of the passage and ratification of the 19th Amendment; providing for women's suffrage; to the Constitution of the United States., On the Resolution, nan
116, rep, 133, 1, 1, 0,1, PN94, Nomination Confirmed, Andrew M. Saul; of New York; to be Commissioner of Social Security for the term expiring January 19; 2025, On the Nomination, nan
116, rep, 134, 1, 1, 0,1, PN139, Cloture Motion Agreed to, David Schenker; of New Jersey; to be an Assistant Secretary of State (Near Eastern Affairs), On the Cloture Motion, nan
116, rep, 135, 1, 1, 0,1, PN18, Cloture Motion Agreed to, Heath P. Tarbert; of Maryland; to be Chairman of the Commodity Futures Trading Commission, On the Cloture Motion, nan
116, rep, 136, 1, 1, 0,1, PN19, Cloture Motion Agreed to, Heath P. Tarbert; of Maryland; to be a Commissioner of the Commodity Futures Trading Commission for a term expiring April 13; 2024, On the Cloture Motion, nan
116, rep, 137, 1, 1, 0,1, PN139, Nomination Confirmed, David Schenker; of New Jersey; to be an Assistant Secretary of State (Near Eastern Affairs), On the Nomination, nan
116, rep, 138, 1, 1, 0,1, PN18, Nomination Confirmed, Heath P. Tarbert; of Maryland; to be Chairman of the Commodity Futures Trading Commission, On the Nomination, nan
116, rep, 139, 1, 1, 0,1, PN19, Nomination Confirmed, Heath P. Tarbert; of Maryland; to be a Commissioner of the Commodity Futures Trading Commission for a term expiring April 13; 2024, On the Nomination, nan
116, rep, 140, 6, 1, 1,0, PN74, Cloture Motion Agreed to, Susan Combs; of Texas; to be an Assistant Secretary of the Interior, On the Cloture Motion, nan
116, rep, 141, 6, 1, 1,0, PN74, Nomination Confirmed, Susan Combs; of Texas; to be an Assistant Secretary of the Interior, On the Nomination, nan
116, rep, 142, 6, 1, 1,0, PN231, Cloture Motion Agreed to, Ryan T. Holte; of Ohio; to be a Judge of the United States Court of Federal Claims for a term of fifteen years, On the Cloture Motion, nan
116, rep, 143, 1, 1, 0,1, PN210, Cloture Motion Agreed to, Rossie David Alston; Jr.; of Virginia; to be United States District Judge for the Eastern District of Virginia, On the Cloture Motion, nan
116, rep, 144, 6, 1, 1,2, PN230, Cloture Motion Agreed to, Richard A. Hertling; of Maryland; to be a Judge of the United States Court of Federal Claims for a term of fifteen years, On the Cloture Motion, nan
116, rep, 145, 6, 1, 1,0, PN231, Nomination Confirmed, Ryan T. Holte; of Ohio; to be a Judge of the United States Court of Federal Claims for a term of fifteen years, On the Nomination, nan
116, rep, 146, 1, 1, 0,1, PN210, Nomination Confirmed, Rossie David Alston; Jr.; of Virginia; to be United States District Judge for the Eastern District of Virginia, On the Nomination, nan
116, rep, 147, 6, 1, 1,2, PN230, Nomination Confirmed, Richard A. Hertling; of Maryland; to be a Judge of the United States Court of Federal Claims for a term of fifteen years, On the Nomination, nan
116, rep, 148, 1, 1, 0,1, PN241, Cloture Motion Agreed to, Sarah Daggett Morrison; of Ohio; to be United States District Judge for the Southern District of Ohio, On the Cloture Motion, nan
116, rep, 149, 1, 1, 0,1, PN241, Nomination Confirmed, Sarah Daggett Morrison; of Ohio; to be United States District Judge for the Southern District of Ohio, On the Nomination, nan
116, rep, 150, 1, 1, 0,1, PN216, Cloture Motion Agreed to, Pamela A. Barker; of Ohio; to be United States District Judge for the Northern District of Ohio, On the Cloture Motion, nan
116, rep, 151, 6, 1, 1,2, PN237, Cloture Motion Agreed to, Corey Landon Maze; of Alabama; to be United States District Judge for the Northern District of Alabama, On the Cloture Motion, nan
116, rep, 152, 1, 1, 0,1, PN252, Cloture Motion Agreed to, Rodney Smith; of Florida; to be United States District Judge for the Southern District of Florida, On the Cloture Motion, nan
116, rep, 153, 1, 1, 0,1, PN215, Cloture Motion Agreed to, Thomas P. Barber; of Florida; to be United States District Judge for the Middle District of Florida, On the Cloture Motion, nan
116, rep, 154, 1, 1, 0,1, PN221, Cloture Motion Agreed to, Jean-Paul Boulee; of Georgia; to be United States District Judge for the Northern District of Georgia, On the Cloture Motion, nan
116, rep, 155, 1, 1, 0,1, PN216, Nomination Confirmed, Pamela A. Barker; of Ohio; to be United States District Judge for the Northern District of Ohio, On the Nomination, nan
116, rep, 156, 6, 1, 1,2, PN237, Nomination Confirmed, Corey Landon Maze; of Alabama; to be United States District Judge for the Northern District of Alabama, On the Nomination, nan
