State,District,Party,Average,Margin
IN,1,1,0.966465091,43.72247555
IN,2,1,0.851453175,36.85787518
IN,7,1,0.973128599,30.15654036
IN,8,1,0.86537426,29.48034392
IN,9,1,0.852844639,19.3598552
IA,1,1,0.949295775,29.21328128
IA,2,1,0.949199337,18.43859953
IA,3,1,0.944099379,14.27373509
KS,2,1,0.918077553,-4.399169563
KS,3,1,0.957343413,16.78491214
KY,3,1,0.95115258,18.73081516
KY,6,1,0.936100492,29.31567357
LA,2,1,0.960071514,-2.712239467
LA,6,1,0.851764706,-7.824823313
ME,2,1,0.939295393,34.87074643
MD,2,1,0.966120836,47.05084083
MD,3,1,0.969288793,39.57626655
MD,4,1,0.957854406,72.97358268
MD,5,1,1,49.67434601
MD,7,1,0.962777778,60.91601986
MD,8,1,0.966847826,53.39265524
MA,1,1,0.958583106,43.8054112
MA,4,1,0.957245974,40.36974162
MA,6,1,0.950937155,38.78477081
MA,7,1,0.961159737,47.91540785
MI,1,1,0.926600442,32.295416
MI,5,1,0.961909871,43.3955502
MI,12,1,0.969048959,48.19333811
MI,13,1,0.959183673,55.0557272
MI,15,1,0.957327344,45.75035003
MN,1,1,0.950511027,29.57280385
MN,4,1,0.965103599,37.12794841
MN,5,1,0.946097698,48.87915302
MN,7,1,0.910192837,44.52936316
MN,8,1,0.954819277,35.53475666
MS,1,1,0.826330532,10.58645709
MS,2,1,0.959183673,38.10048978
MS,4,1,0.849087894,49.07252193
MO,3,1,0.95814978,35.96244809
MO,4,1,0.94733955,31.8211926
MO,5,1,0.956977386,28.74630811
NV,1,1,0.953734671,39.32474817
NH,1,1,0.957400328,5.895744163
NH,2,1,0.953107961,15.01760695
NJ,1,1,0.962804878,46.44879838
NJ,6,1,0.954644809,35.33909751
NJ,8,1,0.956714761,42.93661211
NJ,9,1,0.955467869,36.48256918
NJ,12,1,0.94665215,27.80141659
NJ,13,1,0.964523282,53.61213874
NY,1,1,0.963427948,12.80160899
NY,2,1,0.959690779,24.94501957
NY,4,1,0.964815833,22.54643331
NY,5,1,0.965575621,30.51835076
NY,7,1,0.957946477,50.0420477
NY,8,1,0.957722661,45.51345588
NY,11,1,0.955726092,63.46260412
NY,14,1,0.96009122,48.45042827
NY,15,1,0.96313912,63.1002737
NY,17,1,0.968634686,46.63589933
NY,18,1,0.966405375,31.16532242
NY,19,1,0.947939262,11.65642258
NY,20,1,0.91965812,23.6218167
NY,22,1,0.945840313,24.36005267
NY,24,1,0.955110871,6.368347547
NY,27,1,0.960784314,40.468273
NY,28,1,0.961301178,41.7059293
NC,1,1,0.963636364,40.56535325
NC,2,1,0.960561858,35.65559763
NC,4,1,0.966793685,26.63915482
NC,7,1,0.907915994,37.68870563
NC,11,1,0.849972114,26.12879935
NC,12,1,0.957158351,43.11717409
NC,13,1,0.964052288,31.86661981
ND,0,1,0.950765864,23.94821079
OH,6,1,0.942726231,29.44509201
OH,9,1,0.942157953,48.74701071
OH,10,1,0.893666473,17.89281713
OH,11,1,1,70.51277941
OH,13,1,0.960730088,29.40842515
OH,17,1,0.961559889,56.29176901
OH,18,1,0.910249307,19.7492506
OK,2,1,0.885428254,40.93814383
OR,3,1,0.93601765,53.70636424
PA,1,1,0.968639053,81.52314093
PA,2,1,0.965373134,77.85929028
PA,4,1,0.864343164,11.71593097
PA,7,1,0.953667954,19.18527917
PA,8,1,0.912004345,15.14023787
PA,10,1,0.866259711,12.66329969
PA,11,1,0.948905109,3.254682044
PA,12,1,0.958309537,15.70412984
PA,13,1,0.955834242,28.25943422
PA,17,1,0.940979955,27.35882726
RI,1,1,0.966063348,44.29947452
RI,2,1,0.963973799,40.21632469
SC,5,1,0.957307061,24.65122353
SC,6,1,0.967248908,35.00668246
SD,0,1,0.922451193,35.11148871
TN,4,1,0.915273133,20.94793939
TN,5,1,0.898342541,34.83138729
TX,15,1,0.961771845,33.76438537
TX,17,1,0.946808511,7.483997449
TX,18,1,0.951357466,56.98394364
TX,20,1,0.959251101,46.71599221
TX,22,1,0.80952381,-7.066781016
TX,23,1,0.95170917,13.84413856
TX,25,1,0.95155902,35.38050643
TX,27,1,0.956167815,19.56662301
TX,28,1,0.925642428,39.48481139
TX,29,1,0.938195991,50.75753319
TX,30,1,0.954630205,66.61960231
UT,2,1,0.8626703,28.87619321
VA,8,1,0.952625571,38.25781467
WA,1,1,0.954395604,35.51678164
WA,2,1,0.966267682,24.78426939
WA,3,1,0.936579841,28.02507318
WA,6,1,0.966082533,33.72912826
WA,7,1,0.935447969,67.30589054
WA,9,1,0.947875354,30.89187935
WV,3,1,0.943304536,33.83852812
WI,2,1,0.949648078,38.76873873
WI,3,1,0.947426674,28.74523008
WI,7,1,0.9625,21.64665258
WI,8,1,0.946330778,8.097377087
AK,0,-1,0.804084237,5.167235581
AZ,2,-1,0.891598916,22.27747816
AZ,3,-1,0.88761593,12.00787902
AZ,6,-1,0.829012686,27.86705209
CA,2,-1,0.890257559,15.78999564
CA,3,-1,0.876644737,5.557466104
CA,21,-1,0.888333333,36.78526321
CA,24,-1,0.871693866,16.30783997
CA,25,-1,0.890909091,15.4559857
CA,26,-1,0.88109589,12.19481151
CA,40,-1,0.880351262,25.09808153
CA,41,-1,0.828176796,23.2980286
CA,42,-1,0.888051044,20.31612568
CA,44,-1,0.862723214,2.382331273
CA,45,-1,0.828458943,16.58201599
CA,46,-1,0.867688813,9.438896231
CA,48,-1,0.864833906,14.94029841
CA,49,-1,0.896053363,20.84264761
CA,50,-1,0.874172185,5.061211731
CA,52,-1,0.871972318,17.42068753
CO,4,-1,0.889444444,-12.39415073
CO,5,-1,0.893513514,22.99027994
CT,4,-1,0.718309859,-0.806733684
DE,0,-1,0.735341581,23.09025391
FL,1,-1,0.888455103,40.36806335
FL,4,-1,0.856976744,30.50937276
FL,5,-1,0.832159624,22.30923917
FL,6,-1,0.870010787,21.7750302
FL,7,-1,0.879849138,24.00672185
FL,8,-1,0.865331107,-4.021134728
FL,9,-1,0.834054054,25.9043338
FL,10,-1,0.812185579,21.36345528
FL,12,-1,0.894039735,14.92528538
FL,13,-1,0.817886179,18.04775052
FL,14,-1,0.88601909,34.66925648
FL,18,-1,0.754415011,15.73939561
FL,21,-1,0.793791574,15.80155442
FL,24,-1,0.893371758,-16.08712131
FL,25,-1,0.799669785,6.108766938
GA,1,-1,0.860864745,33.06648913
GA,3,-1,0.885598142,31.38916457
GA,6,-1,0.891833423,36.96531202
GA,7,-1,0.883240223,24.05685114
GA,9,-1,0.892916899,51.02107419
GA,10,-1,0.866190901,21.45472982
GA,11,-1,0.880703683,36.37195876
ID,1,-1,0.875541126,-1.211502222
ID,2,-1,0.803822372,41.99547313
IL,6,-1,0.879564033,15.14092319
IL,10,-1,0.734772979,5.117799339
IL,13,-1,0.814016173,9.90552771
IL,15,-1,0.710836278,28.37873996
IL,16,-1,0.866158868,24.78732945
IL,19,-1,0.848229342,31.08346615
IN,3,-1,0.851936219,15.33659268
IN,4,-1,0.864831804,19.74350363
IN,5,-1,0.897378695,31.09740771
IN,6,-1,0.899207248,30.57341756
IA,4,-1,0.820540541,21.13362334
IA,5,-1,0.880874317,22.45521455
KS,1,-1,0.826806398,68.61048671
KS,4,-1,0.854829704,31.02756427
KY,1,-1,0.810077519,28.69834457
KY,4,-1,0.871651786,26.06749094
LA,1,-1,0.895981087,31.3634738
LA,7,-1,0.836324089,27.55615633
MD,6,-1,0.852272727,18.97499508
MI,2,-1,0.8631116,27.55360331
MI,3,-1,0.774547449,25.73714162
MI,4,-1,0.877916441,26.2593855
MI,6,-1,0.816908993,20.30371098
MI,7,-1,0.873981532,-2.306026324
MI,8,-1,0.850901147,16.29310273
MI,9,-1,0.828382838,-9.454402878
MI,10,-1,0.808292946,35.13116975
MI,11,-1,0.82,6.036235957
MN,2,-1,0.891950297,14.73618976
MN,6,-1,0.891671203,2.97263574
MO,2,-1,0.895424837,26.86743241
MO,6,-1,0.852285396,22.56795454
MO,7,-1,0.918050941,39.60434637
MO,8,-1,0.775027503,45.27971023
MT,0,-1,0.840128755,31.71969224
NE,1,-1,0.786740331,40.72216726
NE,2,-1,0.854143646,3.853134772
NE,3,-1,0.8976719,53.74804789
NV,2,-1,0.863043478,10.38571255
NV,3,-1,0.761177754,-5.137616777
NJ,2,-1,0.709973046,19.9711232
NJ,4,-1,0.695912807,33.57875199
NJ,5,-1,0.879413362,13.46895054
NJ,11,-1,0.793625068,24.8379693
NY,3,-1,0.795140806,17.43882224
NY,23,-1,0.7542051,19.42328451
NY,29,-1,0.783224401,-5.00784255
NC,3,-1,0.734523146,31.79937919
NC,5,-1,0.880837359,16.73696864
NC,6,-1,0.868715084,33.99456184
NC,8,-1,0.829159711,-10.76425468
NC,9,-1,0.900455063,26.47826683
NC,10,-1,0.901062046,15.10186851
OH,1,-1,0.87277628,-4.985655945
OH,2,-1,0.89101862,7.375220129
OH,3,-1,0.80065538,26.63925612
OH,4,-1,0.888407367,30.33575702
OH,5,-1,0.887640449,28.18198782
OH,8,-1,1,35.80734811
OH,12,-1,0.858464888,12.54564525
OH,14,-1,0.753147236,19.57656406
OK,1,-1,0.889865261,32.33525149
OK,3,-1,0.856334842,46.15276953
OK,4,-1,0.864434687,36.8082821
OK,5,-1,0.872766649,31.78318342
OR,2,-1,0.817334065,43.74858613
PA,3,-1,0.780648708,-2.491336681
PA,6,-1,0.751243781,4.202105263
PA,9,-1,0.867800329,27.84797176
PA,15,-1,0.763157895,17.14197168
PA,16,-1,0.901012373,16.42903722
PA,18,-1,0.751094092,28.13368968
PA,19,-1,0.772054795,33.29191979
SC,1,-1,0.853296703,4.041195862
SC,2,-1,0.901950163,7.556639863
SC,3,-1,0.892349727,29.46412183
SC,4,-1,0.870340357,23.18100662
TN,2,-1,0.850215517,56.22560265
TN,3,-1,0.867183177,41.97046072
TN,7,-1,0.89790287,37.16947371
TX,3,-1,0.885304659,21.71192828
TX,4,-1,0.864657534,39.51500279
TX,6,-1,0.880506608,26.40547148
TX,8,-1,0.878649113,47.7735233
TX,10,-1,0.864657534,10.74026594
TX,12,-1,0.882519864,36.98996108
TX,13,-1,0.877517692,55.29387415
TX,19,-1,0.894505495,47.49173513
TX,24,-1,0.896209913,14.91524797
TX,26,-1,0.861856823,23.74220041
TX,31,-1,0.878378378,23.68796858
TX,32,-1,0.900831354,16.67913938
UT,1,-1,0.889085546,34.38184844
VA,1,-1,0.859971711,14.82325447
VA,2,-1,0.873917749,-4.939215621
VA,4,-1,0.861049107,19.14199706
VA,5,-1,0.854395604,-0.229282569
VA,6,-1,0.869495166,24.96318728
VA,7,-1,0.918014501,25.6240986
VA,10,-1,0.792934783,19.97022241
WA,4,-1,0.873130194,26.1758919
WA,5,-1,0.854993983,30.56131386
WA,8,-1,0.74673913,5.568628315
WV,2,-1,0.78308026,14.14383601
WI,1,-1,0.888767721,29.28245645
WI,6,-1,0.838622916,27.50356052
