State,District,Party,AVG,Margin
NV,2,rep,0.935897436,16.46153365
NY,1,rep,0.936440678,-0.981659156
NY,2,rep,1,1.559591571
NY,3,dem,0.857630009,19.17944148
NY,4,dem,0.840986395,25.52669808
NY,9,dem,0.820666097,73.03353111
NY,10,dem,0.957081545,60.88368301
NY,11,rep,0.861209964,-8.539180842
NY,12,dem,0.837108014,69.6419284
NY,13,dem,0.907577019,84.85379258
NY,15,dem,0.921967769,90.51259721
NY,18,dem,0.805932203,11.92856291
NY,19,rep,0.872393661,-8.083031814
NY,20,dem,0.939759036,27.16849489
NY,21,rep,0.850346021,9.792703609
NY,22,rep,0.85560166,-2.339060236
NY,23,rep,0.842149454,5.744381672
NY,24,rep,0.893634841,-0.907565735
NY,25,dem,0.857635893,20.96734785
NY,26,dem,0.858638743,41.39372158
NY,27,rep,0.841269841,-4.788293025
OH,1,rep,0.853470437,4.417507836
OH,2,rep,0.820666097,16.3573971
OH,3,dem,0.941915228,47.24193986
OH,4,rep,0.918088737,30.52815602
OH,5,rep,0.837108014,27.11896678
OH,6,rep,0.907577019,38.50174356
OH,7,rep,0.886518771,17.48723399
OH,8,rep,0.921967769,33.15207193
OH,9,dem,0.931265717,35.59113035
OH,10,rep,0.886666667,13.76124319
OH,11,dem,0.918156162,64.49054496
OH,12,rep,0.921666667,4.222486953
OH,13,dem,0.946127946,21.98989537
OH,14,rep,0.854409318,10.4959038
OH,15,rep,0.91537133,18.62961329
OK,1,rep,0.853140917,18.59889166
OK,2,rep,0.857635893,34.92097295
OK,3,rep,0.858638743,47.74784782
OK,4,rep,0.865523466,30.06237375
OK,5,rep,0.863751051,-1.396886508
OR,1,dem,0.939473684,31.59045173
OR,2,rep,0.910447761,16.89652273
OR,3,dem,0.963302752,52.77602868
OR,4,dem,0.835769561,15.0970922
OR,5,dem,0.770815451,13.19500431
RI,1,dem,0.953936348,33.62304188
RI,2,dem,0.8,27.2117552
SC,2,rep,0.853403141,13.78359564
SC,3,rep,0.916385135,36.82163003
SC,5,rep,1,15.53952667
SC,6,dem,0.870588235,41.89398013
SC,7,rep,0.945854484,19.2511918
TN,3,rep,0.976190476,29.20716945
TN,4,rep,0.963302752,29.7946664
TN,5,dem,0.814529915,35.69369452
TN,8,rep,0.846221441,37.55863818
TN,9,dem,0.873728814,60.74522251
TX,1,rep,0.955868545,45.93588862
TX,4,rep,0.918128655,52.66585087
TX,7,rep,0.950760967,-5.056218981
TX,8,rep,0.944029851,48.57378189
TX,10,rep,0.890572391,4.266032544
TX,11,rep,0.950124688,61.69972366
TX,12,rep,0.860601002,30.37829946
TX,13,rep,0.866148532,64.61827918
TX,14,rep,0.83831283,19.92512621
TX,15,dem,0.902550091,20.91661509
TX,17,rep,0.953936348,15.49224566
TX,18,dem,0.931120332,54.43222012
TX,19,rep,0.939759036,50.45275639
TX,22,rep,0.851851852,4.908121921
TX,23,rep,0.850533808,0.440807544
TX,24,rep,0.854499579,3.069645962
TX,25,rep,0.870588235,8.746589264
TX,26,rep,0.963087248,20.35583431
TX,27,rep,0.924731183,23.71457085
TX,31,rep,1,2.908320426
TX,32,rep,0.925675676,-6.518394892
TX,33,dem,0.963404255,54.25501577
TX,34,dem,0.789428815,19.9779126
TX,35,dem,0.956989247,45.20346066
TX,36,rep,0.945683802,45.11705023
UT,1,rep,0.796003331,36.71721719
UT,2,rep,0.873728814,17.19645687
UT,3,rep,0.942100098,40.24214048
UT,4,rep,0.847626978,-0.257732916
VA,1,rep,0.96023198,10.47452432
VA,2,rep,0.95164076,-2.235918069
VA,4,dem,0.958262351,26.65830704
VA,7,rep,0.961913198,-1.939377307
VA,8,dem,0.95826087,52.42156996
VA,9,rep,0.955574183,30.40732043
VA,10,rep,0.919763514,-12.37510026
VA,11,dem,0.83736447,44.17453366
VT,0,dem,0.969775475,43.25254816
WA,1,dem,0.909856782,18.53532606
WA,3,rep,0.902550091,5.341995795
WA,4,rep,0.848229342,25.63549544
WA,5,rep,0.965313029,9.519989262
WA,6,dem,0.874251497,27.77341018
WA,7,dem,0.941901408,67.1223089
WA,10,dem,0.962624585,23.0880311
WI,1,rep,0.842783505,12.29078099
WI,3,dem,0.842905405,19.33654826
WI,4,dem,0.858113849,53.97400828
WI,5,rep,0.82721202,23.94643798
WI,6,rep,0.800699301,11.00549121
WI,7,rep,0.921169176,21.60636848
WI,8,rep,0.927303466,27.41853066
WV,1,rep,0.932880204,29.15031229
WV,2,rep,0.946987952,10.98333919
WY,0,rep,0.941870261,33.81947378
