State,CD,Member,Party,D3,R3,D2,R2,D1,R1
KS,1,Huelskamp,(R),30,69,26,72,29,67
KS,2,Jenkins,(R),43,55,39,59,41,54
KS,3,Yoder,(R),51,48,44,55,42,53
KS,4,Pompeo,(R),40,58,34,64,37,59
KY,1,Whitfield,(R),37,62,36,63,40,58
KY,2,Guthrie,(R),38,61,34,65,37,62
KY,3,Yarmuth,(D),56,43,51,49,50,48
KY,4,"Davis, Geoff",(R),38,60,36,63,37,61
KY,5,"Rogers, Hal",(R),31,67,39,61,42,57
KY,6,Chandler,(D),43,55,41,58,42,56
LA,1,Scalise,(R),26,73,28,71,31,67
LA,2,Richmond,(D),74,25,75,24,76,22
LA,3,Landry,(R),37,61,41,58,45,52
LA,4,Fleming,(R),40,59,40,59,43,55
LA,5,Alexander,(R),37,62,37,62,40,57
LA,6,Cassidy,(R),41,57,40,59,43,55
LA,7,Boustany,(R),35,63,39,60,42,55
MA,1,Olver,(D),64,34,63,35,56,33
MA,2,Neal,(D),59,39,59,40,58,35
MA,3,McGovern,(D),59,39,59,40,59,35
MA,4,Frank,(D),64,35,65,33,65,29
MA,5,Tsongas,(D),59,39,57,41,57,36
MA,6,Tierney,(D),58,41,58,41,57,36
MA,7,Markey,(D),65,33,66,33,64,29
MA,8,Capuano,(D),86,14,79,19,73,15
MA,9,Lynch,(D),60,39,63,36,60,33
MA,10,Keating,(D),55,44,56,43,54,39
MD,1,Harris,(R),40,58,36,62,40,57
MD,2,Ruppersberger,(D),60,38,54,45,57,41
MD,3,Sarbanes,(D),59,39,54,45,55,41
MD,4,Edwards,(D),85,14,78,21,77,21
MD,5,Hoyer,(D),65,33,57,42,57,41
MD,6,Bartlett,(R),40,58,34,65,36,61
MD,7,Cummings,(D),79,20,73,26,73,25
MD,8,Hollen,(D),74,25,69,30,66,31
ME,1,Pingree,(D),61,38,55,43,50,43
ME,2,Michaud,(D),55,43,52,46,48,45
MI,1,Benishek,(R),50,48,46,53,45,52
MI,2,Huizenga,(R),48,51,39,60,38,59
MI,3,Amash,(R),49,49,40,59,38,60
MI,4,Camp,(R),50,48,44,55,44,54
MI,5,Kildee,(D),64,35,59,41,61,37
MI,6,Upton,(R),54,45,46,53,45,52
MI,7,Walberg,(R),52,46,45,54,46,51
MI,8,"Rogers, Mike J.",(R),53,46,45,54,47,51
MI,9,Peters,(D),56,43,49,51,47,51
MI,10,"Miller, Candice",(R),48,50,43,57,45,53
MI,11,McCotter,(R),54,45,47,53,47,51
MI,12,Levin,(D),65,33,61,39,61,37
MI,13,"Clarke, Hansen",(D),85,15,81,19,80,19
MI,14,Conyers,(D),86,14,83,17,81,18
MI,15,Dingell,(D),66,33,62,38,60,38
MN,1,Walz,(D),51,47,47,51,45,49
MN,2,Kline,(R),48,50,45,54,44,51
MN,3,Paulson,(R),52,46,48,51,46,50
MN,4,McCollum,(D),64,34,62,37,57,37
MN,5,Ellison,(D),74,24,71,28,63,29
MN,6,Bachmann,(R),45,53,42,57,42,52
MN,7,Peterson,(D),47,50,43,55,40,54
MN,8,Cravaack,(R),53,45,53,46,49,44
MO,1,Clay,(D),80,19,75,25,72,26
MO,2,Akin,(R),44,55,40,60,39,59
MO,3,Carnahan,(D),60,39,57,43,54,43
MO,4,Hartzler,(R),38,61,35,64,40,58
MO,5,Cleaver,(D),64,35,59,40,60,37
MO,6,"Graves, Sam",(R),45,54,42,57,44,53
MO,7,Long,(R),35,63,32,67,36,62
MO,8,Emerson,(R),36,62,36,64,39,59
MO,9,Luetkemeyer,(R),44,55,41,59,42,55
MS,1,Nunnelee,(R),38,62,37,62,40,59
MS,2,"Thompson, Bennie",(D),66,34,59,40,57,41
MS,3,Harper,(R),38,62,34,65,35,64
MS,4,Palazzo,(R),32,68,31,68,33,65
MT,AL,Rehberg,(R),47,49,39,59,33,58
NC,1,Butterfield,(D),62,37,57,42,57,42
NC,2,Ellmers,(R),52,47,46,54,46,53
NC,3,Jones,(R),38,61,32,68,35,64
NC,4,"Price, David",(D),63,36,55,44,53,46
NC,5,Foxx,(R),38,61,33,66,33,66
NC,6,Coble,(R),36,63,30,69,32,67
NC,7,McIntyre,(D),47,52,44,56,48,52
NC,8,Kissell,(D),53,47,45,54,46,54
NC,9,Myrick,(R),45,55,36,63,36,63
NC,10,McHenry,(R),36,63,33,67,34,65
NC,11,Shuler,(D),47,52,43,57,40,58
NC,12,Watt,(D),70,29,63,37,57,42
NC,13,"Miller, Brad",(D),59,40,52,47,49,50
ND,AL,Berg,(R),45,53,36,63,33,61
NE,1,Fortenberry,(R),44,54,36,63,36,59
NE,2,Terry,(R),50,49,38,60,39,57
NE,3,"Smith, Adrian",(R),30,69,24,75,25,71
NH,1,Guinta,(R),53,47,48,51,46,49
NH,2,"Bass, Charlie",(R),56,43,52,47,48,47
NJ,1,Andrews,(D),65,34,61,39,63,34
NJ,2,LoBiondo,(R),54,45,49,50,54,43
NJ,3,Runyan,(R),52,47,49,51,54,43
NJ,4,"Smith, Chris",(R),47,52,44,56,50,46
NJ,5,Garrett,(R),45,54,43,57,45,52
NJ,6,Pallone,(D),60,39,57,43,61,35
NJ,7,Lance,(R),51,48,47,53,48,49
NJ,8,Pascrell,(D),63,36,59,41,60,37
NJ,9,Rothman,(D),61,38,59,41,63,34
NJ,10,Payne,(D),87,13,82,18,83,16
NJ,11,Frelinghuysen,(R),45,54,42,58,43,54
NJ,12,Holt,(D),58,41,54,46,56,40
NJ,13,Sires,(D),75,24,69,31,72,25
NM,1,Heinrich,(D),60,40,51,48,48,47
NM,2,Pearce,(R),49,50,41,58,43,54
NM,3,Lujan,(D),61,38,54,45,52,43
NV,1,Berkley,(D),64,34,57,42,56,41
NV,2,Amodei,(R),49,49,41,57,37,57
NV,3,Heck,(R),55,43,49,50,49,48
NY,1,"Bishop, Tim",(D),52,48,49,49,52,44
NY,2,Israel,(D),56,43,53,45,57,39
NY,3,"King, Peter",(R),47,52,47,52,52,44
NY,4,"McCarthy, Carolyn",(D),58,41,55,44,59,38
NY,5,Ackerman,(D),63,36,63,36,67,30
NY,6,Meeks,(D),89,11,84,15,87,11
NY,7,Crowley,(D),79,20,74,25,75,21
NY,8,Nadler,(D),74,26,72,27,74,18
NY,9,Turner,(R),55,44,56,44,67,30
NY,10,Towns,(D),91,9,86,13,88,8
NY,11,"Clarke, Yvette",(D),91,9,86,13,83,9
NY,12,Velazquez,(D),86,13,80,19,77,15
NY,13,Grimm,(R),49,51,45,55,52,44
NY,14,Maloney,(D),78,21,74,25,70,23
NY,15,Rangel,(D),93,6,90,9,87,7
NY,16,Serrano,(D),95,5,89,10,92,5
NY,17,Engel,(D),72,28,67,33,69,27
NY,18,Lowey,(D),62,38,58,42,58,39
NY,19,Hayworth,(R),51,48,45,54,47,49
NY,20,Gibson,(R),51,48,46,54,44,51
NY,21,Tonko,(D),58,40,55,43,56,39
NY,22,Hinchey,(D),59,39,54,45,51,42
NY,23,Owens,(D),52,47,47,51,47,49
NY,24,Hannah,(R),51,48,47,53,47,48
NY,25,Buerkle,(R),56,43,50,48,51,45
NY,26,Hochul,(D),46,52,43,55,44,51
NY,27,Higgins,(D),54,44,53,45,53,41
NY,28,Slaughter,(D),69,30,63,36,60,35
NY,29,Reed,(R),48,51,42,56,43,53
OH,1,Chabot,(R),55,44,49,51,46,51
OH,2,Schmidt,(R),40,59,36,64,34,63
OH,3,Turner,(R),47,51,46,54,45,52
OH,4,Jordan,(R),38,60,34,65,35,62
OH,5,Latta,(R),45,53,39,61,37,59
OH,6,"Johnson, Bill",(R),48,50,49,51,47,49
OH,7,Austria,(R),45,54,43,57,42,56
OH,8,Boehner,(R),38,60,35,64,36,61
OH,9,Kaptur,(D),62,36,58,42,55,41
OH,10,Kucinich,(D),59,39,58,41,53,42
OH,11,Fudge,(D),85,14,81,18,79,18
OH,12,Tiberi,(R),53,46,49,51,46,52
OH,13,Sutton,(D),57,42,56,44,53,44
OH,14,LaTourette,(R),49,49,47,53,44,52
OH,15,Stivers,(R),54,45,50,50,44,52
OH,16,Renacci,(R),48,50,46,54,42,53
OH,17,"Ryan, Tim",(D),62,36,63,37,60,35
OH,18,Gibbs,(R),45,52,43,57,41,55
OK,1,Sullivan,(R),36,64,35,65,37,62
OK,2,Boren,(D),34,66,41,59,47,52
OK,3,Lucas,(R),27,73,28,72,34,65
OK,4,Cole,(R),34,66,33,67,38,61
OK,5,Lankford,(R),41,59,36,64,38,62
OR,1,,(D),61,36,55,44,50,44
OR,2,Walden,(R),43,54,38,61,35,60
OR,3,Blumenauer,(D),71,26,67,33,61,32
OR,4,DeFazio,(D),54,43,49,49,44,49
OR,5,Schrader,(D),54,43,49,50,47,48
PA,1,"Brady, Bob",(D),88,12,84,15,84,15
PA,2,Fattah,(D),90,10,87,12,87,12
PA,3,Kelly,(R),49,49,47,53,47,51
PA,4,Altmire,(D),44,55,45,54,46,52
PA,5,"Thompson, Glenn",(R),44,55,39,61,38,59
PA,6,Gerlach,(R),58,41,52,48,49,49
PA,7,Meehan,(R),56,43,53,47,51,47
PA,8,Fitzpatrick,(R),54,45,51,48,51,46
PA,9,Schuster,(R),35,63,33,67,34,64
PA,10,Marino,(R),45,54,40,60,41,56
PA,11,Barletta,(R),57,42,53,47,54,43
PA,12,Critz,(D),49,50,51,49,55,44
PA,13,Schwarz,(D),59,41,56,43,56,42
PA,14,Doyle,(D),70,29,69,30,70,28
PA,15,Dent,(R),56,43,50,50,49,48
PA,16,Pitts,(R),48,51,38,61,36,62
PA,17,Holden,(D),48,51,42,58,41,56
PA,18,"Murphy, Tim",(R),44,55,46,54,47,52
PA,19,Platts,(R),43,56,36,64,36,61
RI,1,Cicilline,(D),65,33,62,36,63,31
RI,2,Langevin,(D),61,37,57,41,60,33
SC,1,"Scott, Tim",(R),42,57,39,61,38,59
SC,2,"Wilson, Joe",(R),45,54,39,60,39,58
SC,3,"Duncan, Jeff",(R),35,64,34,66,35,63
SC,4,Gowdy,(R),38,60,34,65,33,64
SC,5,Mulvaney,(R),46,53,42,57,43,55
SC,6,Clyburn,(D),64,35,61,39,58,40
SD,AL,Noem,(R),45,53,38,60,38,60
TN,1,Roe,(R),29,70,31,68,38,61
TN,2,"Duncan, John",(R),34,64,35,64,39,59
TN,3,Fleischmann,(R),37,62,38,61,41,57
TN,4,DesJarlais,(R),34,64,41,58,49,50
TN,5,Cooper,(D),56,43,52,48,57,42
TN,6,Black,(R),37,62,40,60,49,49
TN,7,Blackburn,(R),34,65,33,66,40,59
TN,8,Fincher,(R),43,56,47,53,51,48
TN,9,Cohen,(D),77,22,70,30,63,36
TX,1,Gohmert,(R),31,69,31,69,33,68
TX,2,Poe,(R),40,60,37,63,37,63
TX,3,"Johnson, Sam",(R),42,57,33,67,30,70
TX,4,Hall,(R),30,69,30,70,34,66
TX,5,Hensarling,(R),36,63,33,67,34,66
TX,6,Barton,(R),40,60,34,66,34,66
TX,7,Culberson,(R),41,58,36,64,31,69
TX,8,"Brady, Kevin",(R),26,74,28,72,31,69
TX,9,"Green, Al",(D),77,23,70,30,69,31
TX,10,McCaul,(R),44,55,38,62,34,67
TX,11,Conaway,(R),24,76,22,78,25,75
TX,12,Granger,(R),36,63,33,67,36,64
TX,13,Thornberry,(R),23,77,22,78,26,74
TX,14,Paul,(R),33,66,33,67,36,64
TX,15,Hinojosa,(D),60,40,49,51,54,46
TX,16,Reyes,(D),66,34,57,44,59,41
TX,17,Flores,(R),32,67,30,70,32,68
TX,18,Jackson-Lee,(D),77,22,72,28,72,28
TX,19,Neugebauer,(R),27,72,23,77,25,75
TX,20,Gonzalez,(D),63,36,55,45,58,42
TX,21,"Smith, Lamar",(R),41,58,34,66,31,69
TX,22,Olson,(R),41,58,36,64,33,67
TX,23,Canseco,(R),51,48,43,57,47,54
TX,24,Marchant,(R),44,55,35,65,32,68
TX,25,Doggett,(D),59,40,54,46,47,53
TX,26,Burgess,(R),41,58,35,65,38,62
TX,27,Farenthold,(R),53,46,45,55,50,50
TX,28,Cuellar,(D),56,44,46,54,50,50
TX,29,"Green, Gene",(D),62,38,56,44,57,43
TX,30,"Johnson, E.B.",(D),82,18,75,25,74,26
TX,31,Carter,(R),42,58,33,67,32,69
TX,32,Sessions,(R),46,53,40,60,36,64
UT,1,"Bishop, Rob",(R),33,64,25,73,27,68
UT,2,Matheson,(D),39,57,31,66,31,67
UT,3,Chaffetz,(R),29,67,20,77,24,75
VA,1,Wittman,(R),48,51,39,60,39,58
VA,2,Rigell,(R),51,49,42,58,43,55
VA,3,"Scott, Bobby",(D),76,24,66,33,66,32
VA,4,Forbes,(R),50,49,43,57,44,54
VA,5,Hurt,(R),48,51,43,56,41,55
VA,6,Goodlatte,(R),42,57,36,63,37,60
VA,7,Cantor,(R),46,53,38,61,37,61
VA,8,Moran,(D),69,30,64,35,57,38
VA,9,Griffith,(R),40,59,39,60,42,55
VA,10,Wolf,(R),53,46,44,55,41,56
VA,11,Connolly,(D),57,42,49,50,45,52
VT,AL,Welch,(D),68,31,59,39,51,41
WA,1,Inslee,(D),62,36,56,42,53,42
WA,2,Larsen,(D),56,42,51,47,48,46
WA,3,Herrera Beutler,(R),52,46,48,50,46,48
WA,4,"Hastings, Doc",(R),40,58,35,63,34,62
WA,5,McMorris Rodgers,(R),46,52,41,57,40,56
WA,6,Dicks,(D),57,41,53,45,52,43
WA,7,McDermott,(D),84,15,79,19,72,21
WA,8,Reichert,(R),57,42,51,48,49,47
WA,9,"Smith, Adam",(D),59,40,53,46,53,43
WI,1,"Ryan, Paul",(R),51,48,46,54,45,51
WI,2,Baldwin,(D),69,30,62,37,58,36
WI,3,Kind,(D),58,41,51,48,49,46
WI,4,Moore,(D),75,24,70,30,66,30
WI,5,Sensenbrenner,(R),41,58,36,63,35,62
WI,6,Petri,(R),50,49,43,56,42,53
WI,7,Duffy,(R),56,43,50,49,48,47
WI,8,Ribble,(R),54,45,44,55,43,52
WV,1,McKinley,(R),42,57,42,58,43,54
WV,2,Capito,(R),44,55,42,57,44,54
WV,3,Rahall,(D),42,56,46,53,51,47
WY,AL,Lummis,(R),33,65,29,69,28,69
