State,District,Party,Average,Margin,,State,District,2012,2008
HI,1,1,0.784810127,47.93867196,,HI,1,6,16
HI,2,1,0.821016166,16.18401013,,HI,2,12,20
IA,1,-1,0.919670443,14.50764806,,IA,1,7,7
IA,2,-1,0.822665268,6.450227107,,IA,2,11,10
IA,3,1,0.796146045,8.371877677,,IA,3,0,1
IA,4,-1,0.897225077,11.69309308,,IA,4,-3,-1
ID,1,-1,0.905391658,19.63413392,,ID,1,-39,-40
ID,2,-1,0.927909372,39.13677457,,ID,2,-39,-39
IL,1,1,0.839285714,64.95404452,,IL,1,66,68
IL,2,1,0.824242424,64.60301071,,IL,2,68,66
IL,4,1,0.851977401,64.55929857,,IL,4,58,59
IL,6,-1,0.926854754,30.18082267,,IL,6,-6,-9
IL,7,1,0.843487395,67.96315066,,IL,7,66,67
IL,8,-1,0.8781284,14.85541748,,IL,8,-12,-14
IL,9,1,0.83127572,43.43564169,,IL,9,36,36
IL,10,-1,0.890368852,37.61736869,,IL,10,6,4
IL,11,-1,0.870103093,28.63971826,,IL,11,-7,-2
IL,12,1,0.729145211,38.49068519,,IL,12,4,11
IL,13,-1,0.912032356,40.51909473,,IL,13,-10,-13
IL,14,-1,0.980645161,48.27349846,,IL,14,-11,-11
IL,15,-1,0.87715736,34.13029906,,IL,15,-18,-11
IL,16,-1,0.920084122,41.22874377,,IL,16,-11,-11
IL,17,1,0.830072091,24.83841817,,IL,17,3,10
IN,1,1,0.794791667,35.92157559,,IN,1,11,14
IN,3,-1,0.920770878,28.6870933,,IN,3,-37,-33
IN,4,-1,0.933333333,45.21669789,,IN,4,-39,-34
IN,5,-1,0.925373134,46.79269411,,IN,5,-43,-39
IN,6,-1,0.929085303,29.39085283,,IN,6,-29,-19
IN,7,1,0.860664523,8.981760834,,IN,7,16,13
IN,8,-1,0.864637985,5.282969953,,IN,8,-24,-15
IN,9,1,0.76446281,5.019660558,,IN,9,-19,-14
KS,2,-1,0.923789907,22.90154851,,KS,2,-20,-13
KS,3,1,0.778004073,3.28776739,,KS,3,-11,-11
KS,4,-1,0.924664603,23.58310249,,KS,4,-30,-22
KY,1,-1,0.910229645,30.50933042,,KY,1,-27,-18
KY,2,-1,0.931632653,40.46900526,,KY,2,-31,-25
KY,3,-1,0.93153527,3.222539441,,KY,3,2,2
KY,4,1,0.664292981,3.566541474,,KY,4,-27,-24
KY,5,-1,0.923553719,56.58874262,,KY,5,-22,-15
LA,2,1,0.826366559,52.66749205,,LA,2,51,54
LA,4,-1,0.938155136,45.16687176,,LA,4,-19,-12
MA,1,1,0.813084112,33.82402835,,MA,1,28,23
MA,5,1,0.84164859,24.86893871,,MA,5,16,21
MA,6,1,0.827160494,34.57865202,,MA,6,17,21
MA,10,1,0.836012862,36.61915913,,MA,10,13,15
MD,1,-1,0.873551106,53.60934437,,MD,1,-26,-17
MD,3,1,0.8299389,31.57019565,,MD,3,9,14
MD,4,1,0.823406479,58.03069652,,MD,4,57,56
MD,5,1,0.835051546,38.80162359,,MD,5,15,16
MD,6,-1,0.897148676,32.34109221,,MD,6,-31,-25
MD,7,1,0.832985386,47.18906234,,MD,7,47,48
MD,8,-1,0.77348643,-4.221145641,,MD,8,39,35
ME,1,1,0.833679834,27.61321177,,ME,1,12,7
MI,1,1,0.769473684,36.57465411,,MI,1,-7,-7
MI,2,-1,0.894736842,42.70301067,,MI,2,-21,-21
MI,3,-1,0.886063072,41.64583857,,MI,3,-19,-22
MI,4,-1,0.926305015,38.03763502,,MI,4,-11,-10
MI,6,-1,0.901010101,39.8562531,,MI,6,-7,-7
MI,7,-1,0.890191898,21.04210884,,MI,7,-9,-5
MI,8,-1,0.91809909,37.12320629,,MI,8,-9,-4
MI,9,-1,0.936392075,18.21722661,,MI,9,-2,-4
MI,12,1,0.848979592,38.47807561,,MI,12,22,24
MI,14,1,0.803468208,68.0043297,,MI,14,66,63
MI,15,1,0.823404255,46.48820763,,MI,15,24,22
MN,1,-1,0.856996936,26.8458016,,MN,1,-4,-4
MN,2,1,0.823958333,-11.10262846,,MN,2,-9,-7
MN,4,1,0.844897959,28.31027444,,MN,4,25,20
MN,5,1,0.801644399,41.13609551,,MN,5,43,34
MN,6,-1,0.87006237,22.27856825,,MN,6,-15,-10
MN,7,1,0.689330544,30.63190869,,MN,7,-12,-14
MN,8,1,0.792008197,37.41613279,,MN,8,7,5
MO,1,1,0.823333333,43.01954934,,MO,1,50,46
MO,2,-1,0.924796748,36.10285016,,MO,2,-20,-20
MO,3,1,1,20.12297103,,MO,3,14,11
MO,4,1,0.761316872,36.98332366,,MO,4,-29,-18
MO,5,1,0.848920863,33.51829272,,MO,5,19,23
MO,6,-1,0.920326864,27.84831417,,MO,6,-15,-9
MO,7,-1,0.938972163,51.8129919,,MO,7,-35,-26
MO,8,-1,0.897980871,44.84789269,,MO,8,-28,-20
MO,9,-1,0.892209178,39.6525394,,MO,9,-18,-13
MS,1,-1,0.908717949,47.2317264,,MS,1,-25,-19
MS,2,1,0.79769392,12.3900644,,MS,2,19,16
MS,3,1,0.689217759,-28.81346651,,MS,3,-31,-29
MS,3,-1,0.917610711,28.81346651,,MS,3,-31,-29
MS,4,1,0.650663943,53.97546149,,MS,4,-37,-32
MT,0,-1,0.924012158,31.95300026,,MT,0,-20,-25
NC,2,1,0.813387424,32.08951327,,NC,2,-8,-7
NC,4,1,0.828542094,25.03633485,,NC,4,11,7
NC,5,-1,0.928571429,40.37986734,,NC,5,-33,-33
NC,7,1,0.749740395,43.80692933,,NC,7,-12,-4
NC,8,-1,0.928425358,9.001843244,,NC,8,-9,-8
NC,9,-1,0.928497409,46.58788377,,NC,9,-27,-27
NC,10,-1,0.920251836,21.45569328,,NC,10,-34,-31
NC,11,-1,0.92248062,12.6920795,,NC,11,-14,-18
NC,12,1,0.812691914,32.5531113,,NC,12,26,15
ND,0,1,0.797948718,4.811496342,,ND,0,-27,-28
NE,2,-1,0.908247423,30.33081246,,NE,2,-22,-18
NH,2,-1,0.88877551,15.95124991,,NH,2,5,1
NJ,2,-1,0.817171717,40.93566905,,NJ,2,-1,11
NJ,3,-1,0.896049896,31.1011442,,NJ,3,-2,11
NJ,4,-1,0.887975334,34.03652303,,NJ,4,-12,4
NJ,6,1,0.832653061,35.56492963,,NJ,6,14,26
NJ,7,-1,0.887029289,17.03587939,,NJ,7,-6,-1
NJ,8,1,0.831088083,36.24894742,,NJ,8,18,23
NJ,9,1,0.833151581,39.5269979,,NJ,9,18,29
NJ,10,1,0.81663113,68.90352334,,NJ,10,64,67
NJ,11,-1,0.892672859,45.98318797,,NJ,11,-16,-11
NJ,12,1,0.797131148,24.38254529,,NJ,12,8,16
NJ,13,1,0.831578947,60.12336759,,NJ,13,38,47
NM,1,-1,0.904713115,10.68374339,,NM,1,3,1
NV,1,1,0.829068577,10.83314131,,NV,1,15,15
NV,2,-1,0.922916667,54.32768956,,NV,2,-16,-20
NY,1,-1,0.907312049,-9.144681566,,NY,1,0,8
NY,2,1,0.807216495,17.23081148,,NY,2,8,18
NY,3,-1,0.909375,28.32034808,,NY,3,-5,8
NY,4,1,0.816598361,13.32737874,,NY,4,11,21
NY,7,1,0.848958333,31.19054013,,NY,7,49,54
NY,8,1,0.837690632,37.6991863,,NY,8,45,56
NY,9,1,0.850368809,24.3648643,,NY,9,12,37
NY,13,-1,0.906798246,28.49052635,,NY,13,-10,8
NY,14,1,0.828723404,36.26241705,,NY,14,49,47
NY,17,1,0.836933045,26.40715995,,NY,17,34,42
NY,19,-1,0.876530612,30.41278282,,NY,19,-9,-2
NY,20,-1,0.881521739,35.70555511,,NY,20,-8,-7
NY,21,1,0.815117467,31.67487456,,NY,21,12,17
NY,22,1,0.819415449,20.71919322,,NY,22,9,9
NY,25,-1,0.898852972,27.91674341,,NY,25,2,6
NY,26,-1,0.927835052,30.21907156,,NY,26,-12,-7
NY,27,-1,0.884279476,30.46081958,,NY,27,8,12
NY,28,1,0.838156484,27.31319696,,NY,28,27,25
NY,29,-1,0.865384615,38.07491109,,NY,29,-14,-10
OH,1,-1,0.917682927,29.59842741,,OH,1,-2,-5
OH,2,-1,0.936983471,48.09856608,,OH,2,-28,-29
OH,4,-1,0.936078007,35.03969571,,OH,4,-31,-27
OH,5,-1,0.901378579,39.52850935,,OH,5,-22,-22
OH,6,1,0.796126402,18.95937166,,OH,6,-2,-2
OH,7,-1,0.919469929,40.37653909,,OH,7,-14,-14
OH,8,-1,0.936238045,41.62145569,,OH,8,-29,-25
OH,9,1,0.827067669,47.9836837,,OH,9,16,14
OH,10,1,0.763747454,50.25692735,,OH,10,17,11
OH,11,1,0.827394209,52.66865703,,OH,11,63,61
OH,12,-1,0.931632653,28.77169229,,OH,12,-2,-6
OH,13,1,0.821903787,37.93432073,,OH,13,12,9
OH,14,-1,0.895586652,44.3022557,,OH,14,-6,-8
OH,15,-1,0.914940022,33.17782606,,OH,15,0,-8
OH,16,-1,0.917933131,37.73795241,,OH,16,-8,-11
OK,1,-1,0.937788018,13.4525831,,OK,1,-30,-25
OK,2,1,0.768431983,48.24377974,,OK,2,-18,-5
OK,5,-1,0.927801724,29.82091863,,OK,5,-28,-24
OR,2,-1,0.92284264,46.1004265,,OR,2,-23,-25
OR,3,1,0.794979079,40.01668248,,OR,3,34,29
OR,4,1,0.775789474,29.46208645,,OR,4,0,-5
OR,5,1,0.817993795,9.649475028,,OR,5,-1,-1
PA,1,1,0.805084746,73.97530159,,PA,1,69,69
PA,2,1,0.834782609,75.54002949,,PA,2,75,75
PA,4,-1,0.920081967,29.10720114,,PA,4,-9,-6
PA,7,-1,0.888646288,32.18462984,,PA,7,6,4
PA,8,-1,0.867803838,25.18422874,,PA,8,3,5
PA,9,-1,1,42.10833348,,PA,9,-34,-30
PA,11,1,0.787538304,13.17498443,,PA,11,6,11
PA,12,1,0.77113867,46.96440826,,PA,12,2,11
PA,13,1,0.837755102,3.610755804,,PA,13,13,14
PA,15,-1,0.886339937,14.72282238,,PA,15,0,1
PA,17,1,0.758691207,2.822282169,,PA,17,-16,-15
PA,17,-1,0.920245399,-2.822282169,,PA,17,-16,-15
RI,1,1,0.84067086,22.5698001,,RI,1,26,32
RI,2,1,0.824898785,54.01981015,,RI,2,16,27
SC,4,-1,0.933537832,39.99616722,,SC,4,-31,-31
SC,6,1,0.823770492,34.88358654,,SC,6,22,18
TN,2,-1,0.87804878,59.0662487,,TN,2,-29,-20
TN,3,-1,0.905991736,30.72084452,,TN,3,-23,-16
TN,6,1,0.767167382,33.62195149,,TN,6,-20,0
TN,8,1,0.725366876,42.83979282,,TN,8,-6,3
TX,1,1,0.795291709,12.89222285,,TX,1,-38,-35
TX,2,1,0.767820774,22.65891346,,TX,2,-26,-26
TX,3,-1,0.919831224,49.61364536,,TX,3,-34,-40
TX,4,1,0.589613035,17.44956473,,TX,4,-40,-32
TX,6,-1,0.931108719,42.66842237,,TX,6,-32,-32
TX,9,1,0.808219178,18.29911191,,TX,9,40,38
TX,9,-1,0.686772487,-18.29911191,,TX,9,40,38
TX,11,1,0.779033916,4.447144425,,TX,11,-56,-50
TX,13,-1,0.928352098,58.54706246,,TX,13,-56,-48
TX,14,-1,0.686772487,36.18167261,,TX,14,-34,-28
TX,17,1,0.691836735,3.976703866,,TX,17,-40,-36
TX,18,1,0.823221757,55.21074105,,TX,18,44,44
TX,21,1,0.812828601,-47.56115681,,TX,21,-32,-38
TX,21,-1,0.93968254,47.56115681,,TX,21,-32,-38
TX,22,-1,0.957939012,28.15053682,,TX,22,-28,-34
TX,23,-1,0.928057554,4.321430469,,TX,23,-14,-7
TX,24,1,0.834196891,30.71022375,,TX,24,-30,-36
TX,27,1,0.789308176,24.55685373,,TX,27,-10,0
TX,28,1,0.828865979,44.23421629,,TX,28,-8,0
TX,30,1,0.812828601,50.07553185,,TX,30,50,48
TX,31,-1,0.919831224,41.72116123,,TX,31,-34,-37
TX,32,-1,0.927138332,37.41666779,,TX,32,-20,-28
UT,2,1,0.756072874,0.732268918,,UT,2,-35,-36
UT,3,-1,0.926091825,38.443014,,UT,3,-57,-51
VA,5,-1,0.917515275,26.99473485,,VA,5,-13,-14
VA,7,-1,0.939734423,38.98451104,,VA,7,-23,-24
VA,8,1,0.780564263,22.49023568,,VA,8,29,19
VA,10,-1,0.909183673,43.59310708,,VA,10,-11,-15
WA,1,1,0.826707441,14.33469571,,WA,1,14,11
WA,2,1,0.779141104,4.299282711,,WA,2,4,2
WA,3,1,0.801635992,23.37931712,,WA,3,-2,-2
WA,4,-1,0.939267016,33.79184201,,WA,4,-28,-28
WA,5,-1,0.92462845,30.45797451,,WA,5,-16,-16
WA,6,1,0.812564367,32.85007432,,WA,6,8,9
WA,7,1,0.774499473,52.15281299,,WA,7,60,51
WA,8,-1,0.921218487,22.47620921,,WA,8,3,2
WA,9,1,0.785562633,19.94930059,,WA,9,7,10
WI,1,-1,0.912863071,36.56579408,,WI,1,-8,-6
WI,2,1,0.809474768,32.18099511,,WI,2,25,22
WI,3,1,0.793244626,29.28502596,,WI,3,3,3
WI,7,1,0.824561404,28.44684258,,WI,7,1,1
WI,8,-1,0.908629442,48.68731795,,WI,8,-11,-9
WV,2,-1,0.89035533,20.08602361,,WV,2,-15,-10
WV,3,1,0.786528497,40.43931783,,WV,3,-7,4
