State,District,Party,Average,Margin
NV,2,-1,0.933936652,37.7992589
NV,3,-1,0.887583893,24.6254778
NJ,2,-1,0.852253756,24.18824937
NJ,4,-1,0.906143345,36.83807171
NJ,5,-1,0.894514768,12.10558911
NJ,7,-1,0.901830283,20.48614465
NJ,11,-1,0.93204698,25.14005442
NM,2,-1,0.912162162,28.90165587
NY,2,-1,0.908163265,23.76600258
NY,11,-1,0.906726457,6.182037676
NY,19,-1,0.741176471,19.76933792
NY,23,-1,0.899740709,17.91723081
NY,27,-1,0.955008489,27.06614547
NC,2,-1,0.941722973,17.65306565
NC,3,-1,0.676630435,35.61968317
NC,5,-1,0.907422852,22.03967545
NC,8,-1,0.906011854,29.72649956
NC,10,-1,0.948761742,22.03513775
NC,11,-1,0.925988225,25.79730811
NC,13,-1,0.916526138,14.61543901
ND,0,-1,0.945709282,17.05955684
OH,1,-1,0.93755204,26.43338079
OH,2,-1,0.938552189,31.92515576
OH,4,-1,0.889637742,35.33148459
OH,5,-1,0.945788157,37.53929807
OH,6,-1,0.926727727,19.65098714
OH,8,-1,1,39.82636861
OH,10,-1,0.913663034,33.64954189
OH,12,-1,0.915239726,40.35308326
OH,14,-1,0.901861252,30.23580949
OH,15,-1,0.913601369,32.04741523
OH,16,-1,0.912133891,27.47534659
OK,2,-1,0.939419795,45.4279167
OK,3,-1,0.953429297,57.23003449
OK,4,-1,0.940972222,46.14417687
OR,2,-1,0.937815126,44.73827955
PA,3,-1,0.945697577,21.26204803
PA,4,-1,0.917015926,49.07266646
PA,5,-1,0.919695689,27.19220157
PA,7,-1,0.921470343,24.07783094
PA,8,-1,0.858354538,23.80425891
PA,9,-1,0.930374238,27.04350987
PA,10,-1,0.941722973,37.77353845
PA,11,-1,0.945531915,32.6142984
PA,12,-1,0.940882598,18.55539758
PA,16,-1,0.930626058,15.43904446
SC,2,-1,0.946015424,27.17034208
SC,3,-1,0.890833333,42.41230664
SC,5,-1,0.878133103,20.7119815
SC,7,-1,0.922684792,19.97213218
SD,0,-1,0.946817786,33.05925398
TN,2,-1,0.845507976,49.93733171
TN,3,-1,0.952020202,27.77824045
TN,6,-1,0.955311973,48.11871904
TN,7,-1,0.95140665,43.22417626
TN,8,-1,0.938917976,46.24815319
TX,1,-1,0.863757792,54.93268713
TX,6,-1,0.923555556,24.70727701
TX,7,-1,0.936288089,28.71686019
TX,10,-1,0.954893617,28.04204919
TX,12,-1,0.951048951,45.000315
TX,13,-1,0.949832776,71.52475067
TX,14,-1,0.892976589,25.78690167
TX,17,-1,0.910790144,32.18153765
TX,19,-1,0.930369128,58.81114212
TX,22,-1,0.948085106,34.97948089
TX,24,-1,0.905841325,32.73618235
TX,25,-1,0.943868739,23.98036912
TX,27,-1,0.931552588,29.90530115
TX,31,-1,0.948290973,32.08602511
TX,32,-1,0.950461797,26.374795
UT,1,-1,0.927046263,36.76653798
UT,2,-1,0.944491887,28.27181438
UT,3,-1,0.918294849,49.72155983
VA,1,-1,0.926421405,28.52863024
VA,2,-1,0.903035413,17.55460534
VA,4,-1,0.936332767,22.634795
VA,5,-1,0.939316239,25.00817292
VA,7,-1,0.914893617,23.87991009
WA,3,-1,0.892533937,23.06448273
WA,5,-1,0.961838682,21.36605119
WA,8,-1,0.906432749,26.53564384
WV,1,-1,0.923460899,27.90026047
WI,1,-1,0.949081803,26.63844259
WI,5,-1,0.891139241,39.05043476
WI,7,-1,0.910604733,19.86790089
WI,8,-1,0.888047138,30.06674757
WY,0,-1,0.892241379,43.95774541
