State,District,Party,Average,Margin,,AL,7,1,0.838896021,51.76345096
IL,18,-1,0.823492063,43.32504408,,,,,,
IL,19,-1,0.846153846,42.44957094,,,,,,
IN,3,-1,0.733333333,29.65322698,,,,,,
IN,5,-1,0.859519409,36.74806584,,,,,,
IN,6,-1,0.875720692,36.64907638,,,,,,
IA,4,-1,0.796454768,33.66950658,,,,,,
IA,5,-1,0.855638166,33.39650377,,,,,,
KS,2,-1,0.854887675,30.80276733,,,,,,
KY,1,-1,0.801611903,42.49062196,,,,,,
KY,2,-1,0.827122786,35.77409593,,,,,,
KY,4,-1,0.844654088,38.95481609,,,,,,
KY,5,-1,0.817956656,54.84919483,,,,,,
LA,1,-1,0.865846154,59.33078891,,,,,,
LA,4,-1,0.862913097,29.985663,,,,,,
LA,6,-1,0.835530446,31.26657323,,,,,,
MD,6,-1,0.829268293,28.2279542,,,,,,
MI,4,-1,0.828553616,35.69047131,,,,,,
MI,6,-1,0.808626974,28.39161332,,,,,,
MI,8,-1,0.842271293,29.75246433,,,,,,
MI,10,-1,0.796589525,46.9516522,,,,,,
MI,11,-1,0.82002457,20.77914448,,,,,,
MN,2,-1,0.866055046,26.71712288,,,,,,
MN,3,-1,0.828536436,22.23231616,,,,,,
MN,6,-1,0.872703412,12.72016622,,,,,,
MS,3,-1,0.835582822,36.80026295,,,,,,
MO,2,-1,0.851077313,38.78071919,,,,,,
MO,6,-1,0.858278146,38.90776524,,,,,,
MO,8,-1,0.80371517,36.79712652,,,,,,
MT,0,-1,0.822127139,26.56983246,,,,,,
NE,1,-1,0.799874529,42.54560091,,,,,,
NE,2,-1,0.834669957,21.61269002,,,,,,
NE,3,-1,0.861416361,52.22520524,,,,,,
NV,2,-1,0.844903064,30.64420936,,,,,,
NJ,2,-1,0.7619915,34.56797511,,,,,,
NJ,4,-1,0.754200373,41.52927709,,,,,,
NJ,5,-1,0.852012384,32.14568073,,,,,,
NJ,7,-1,0.799028537,18.74837558,,,,,,
NJ,11,-1,0.798896383,36.6760176,,,,,,
NY,3,-1,0.795665635,43.24103182,,,,,,
NY,29,-1,0.741176471,3.363391944,,,,,,
NC,3,-1,0.744680851,46.11447838,,,,,,
NC,5,-1,0.85775076,31.77080647,,,,,,
NC,6,-1,0.851851852,50.41658845,,,,,,
NC,9,-1,0.860074627,37.9343294,,,,,,
NC,10,-1,0.869158879,42.35438148,,,,,,
OH,2,-1,0.859119497,23.79532889,,,,,,
OH,3,-1,0.777160494,36.22480855,,,,,,
OH,4,-1,0.866171004,46.74988985,,,,,,
OH,5,-1,0.874541004,41.35105301,,,,,,
OH,7,-1,0.851806491,29.92080178,,,,,,
OH,8,-1,1,35.34281352,,,,,,
OH,12,-1,0.837752525,14.80644922,,,,,,
OH,14,-1,0.763454318,33.47150932,,,,,,
OK,3,-1,0.842003854,55.98701449,,,,,,
OR,2,-1,0.810760668,48.04810832,,,,,,
PA,5,-1,0.825445605,40.45668205,,,,,,
PA,6,-1,0.781309599,14.20497475,,,,,,
PA,9,-1,0.831030151,46.12255826,,,,,,
PA,15,-1,0.757612667,14.55306334,,,,,,
PA,16,-1,0.865800866,30.77369373,,,,,,
PA,18,-1,0.760747664,34.65643013,,,,,,
PA,19,-1,0.781486146,48.60373614,,,,,,
SC,2,-1,0.861793612,9.718413999,,,,,,
TN,2,-1,0.822699387,67.13346407,,,,,,
TN,7,-1,0.867163253,47.62162827,,,,,,
TX,3,-1,0.866537718,34.93698085,,,,,,
TX,4,-1,0.839452396,51.19171596,,,,,,
TX,5,-1,0.856257745,43.00854317,,,,,,
TX,6,-1,0.849092048,34.70967107,,,,,,
TX,8,-1,0.85488959,63.0152313,,,,,,
TX,10,-1,0.843592965,31.62496487,,,,,,
TX,11,-1,0.838809671,65.39976825,,,,,,
TX,12,-1,0.855801476,46.72338589,,,,,,
TX,14,-1,0.721428571,51.98050299,,,,,,
TX,19,-1,0.858040201,58.72409393,,,,,,
TX,21,-1,0.828856964,41.0057283,,,,,,
TX,22,-1,0.861373661,37.67835446,,,,,,
TX,26,-1,0.852130326,36.35683447,,,,,,
TX,32,-1,0.874529486,27.72544909,,,,,,
UT,1,-1,0.858932103,45.26813396,,,,,,
UT,3,-1,0.835064142,49.38297806,,,,,,
VA,1,-1,0.828115408,29.09025801,,,,,,
VA,4,-1,0.842529448,24.88091578,,,,,,
VA,7,-1,0.871939736,25.103898,,,,,,
VA,10,-1,0.800488103,28.05577399,,,,,,
WA,4,-1,0.838871473,35.2841402,,,,,,
WA,5,-1,0.866922585,27.33268434,,,,,,
WA,8,-1,0.760572139,4.103240963,,,,,,
WV,2,-1,0.790123457,38.76628915,,,,,,
WI,1,-1,0.865577889,38.1053534,,,,,,
WI,5,-1,0.840218712,41.96366578,,,,,,
WI,6,-1,0.822018349,41.38730062,,,,,,
WY,0,-1,0.837837838,45.01210552,,,,,,
