State,District,Party,Margin,Lean,Minority,Nat_Margin,Year,Fresh,Calculated_C6,Year1,Midterm,Avg_Def,DefxParty,DefxLean,DefxMin,DefxNat_Margin,DefxYear1,DefxFresh,DefxMid,Has_Pres,DefxHas_Pres,Avg_Def_Adj,Abs_lean
CO,6,0,2.041619765,-0.63339,0,-1.2,2012,0,-0.544560532,10,0,16.6352793,0,-0.25194859,0,-0.477333568,3.977779732,0,0,0,0,0.397777973,0.63339
CA,25,0,-8.732277102,0.65,0,-8.6,2018,0,-2.037443746,16,1,7.0338983,0,0.264554951,0,-3.500265506,6.512121871,0,0.407007617,1,0.407007617,0.407007617,0.65
FL,26,1,-2.928652448,-0.66632,1,-5.7,2014,1,-0.359606525,12,1,23.6348123,6.28951319,-4.190828429,6.28951319,-35.85022518,75.47415828,6.28951319,6.28951319,1,6.28951319,6.28951319,0.66632
NY,18,0,-6.454866705,0.66656,0,-1.2,2012,0,-1.077063721,10,0,17.1590195,0,0.614247154,0,-1.105821808,9.215181732,0,0,0,0,0.921518173,0.66656
NY,18,1,6.454866705,-0.66656,1,1.2,2012,0,-0.776378659,10,0,13.0859375,-3.149596196,2.09939484,-3.149596196,-3.779515435,-31.49596196,0,0,1,-3.149596196,-3.149596196,0.66656
CA,7,1,0.792539777,-0.66659,1,-5.7,2014,1,-0.234388699,12,1,20.3842941,3.03899499,-2.02576367,3.03899499,-17.32227144,36.46793988,3.03899499,3.03899499,1,3.03899499,3.03899499,0.66659
PA,12,1,1.558096596,-0.68,0,-6.8,2010,1,0.054756423,8,1,7.4468085,0.50509035,-0.343461438,0,-3.434614383,4.040722804,0.50509035,0.50509035,1,0.50509035,0.50509035,0.68
CA,25,0,6.260123066,0.68,0,1.1,2016,1,-0.452067911,14,0,5.9907834,0,-1.51472063,0,-2.450283372,-31.18542474,-2.227530338,0,0,0,-2.227530338,0.68
PA,12,1,15.70412984,-0.68,0,10.6,2008,0,-1.34174719,6,0,4.1690463,-1.51755361,1.031936455,0,-16.08606827,-9.10532166,0,0,0,0,-1.51755361,0.68
AZ,9,1,12.81484864,-0.69987,1,-5.7,2014,1,0.264543187,12,1,27.4744027,10.12910359,-7.089055729,10.12910359,-57.73589046,121.5492431,10.12910359,10.12910359,1,10.12910359,10.12910359,0.69987
OR,4,1,15.0970922,0.7,1,8.6,2018,0,-0.542324423,16,1,16.4230439,0.776731514,0.54371206,0.776731514,6.679891018,12.42770422,0,0.776731514,0,0,0.776731514,0.7
OR,4,1,15.81741991,0.7,1,-1.1,2016,0,0.012868117,14,0,17.3770492,3.217190935,2.252033655,3.217190935,-3.538910029,45.04067309,0,0,1,3.217190935,3.217190935,0.7
CA,7,0,-3.363081843,0.73325,0,-1.2,2012,0,-1.141625605,10,0,13.5220126,0,-1.991132109,0,3.258586472,-27.15488727,0,0,0,0,-2.715488727,0.73325
WA,8,0,20.39019525,0.74,0,1.1,2016,0,0.466818587,14,0,13.5326515,0,3.932609944,0,5.845771538,74.40072866,0,0,0,0,5.314337762,0.74
NY,3,0,5.571768462,-0.7666633,0,-8,2006,0,0.04559907,4,1,10.1265823,0,0.624046923,0,6.511822575,-3.255911287,0,-0.813977822,1,-0.813977822,-0.813977822,0.7666633
NY,3,0,16.00189798,-0.7666633,0,2.6,2004,0,0.132529144,2,0,12.8401361,0,-0.601253938,0,2.039044047,1.568495421,0,0,1,0.78424771,0.78424771,0.7666633
FL,10,0,31.8574043,-0.7666663,0,-8,2006,0,2.488182562,4,1,10.7497742,0,0.146269137,0,1.526287375,-0.763143687,0,-0.190785922,1,-0.190785922,-0.190785922,0.7666663
FL,10,0,38.65603866,-0.7666663,0,2.6,2004,0,2.61419296,2,0,9.3167702,0,2.099989608,0,-7.121707293,-5.478236379,0,0,1,-2.73911819,-2.73911819,0.7666663
NY,21,1,5.018958774,0.80014,1,1.2,2012,0,-0.404028413,10,0,31.2856238,15.0500901,12.0421791,15.0500901,18.06010812,150.500901,0,0,1,15.0500901,15.0500901,0.80014
NY,2,0,8.353689043,0.86653,0,-1.2,2012,0,-0.226593357,10,0,16.837388,0,0.519819799,0,-0.719864008,5.998866732,0,0,0,0,0.599886673,0.86653
CA,39,0,14.46085874,0.87,0,1.1,2016,0,0.0471852,14,0,6.259542,0,-1.704131412,0,-2.154648912,-27.42280434,0,0,0,0,-1.958771738,0.87
IA,4,0,14.42304075,0.8999997,0,-8,2006,0,1.166642908,4,1,6.9651741,0,-3.577846227,0,31.80308817,-15.90154409,0,-3.975386022,1,-3.975386022,-3.975386022,0.8999997
AR,2,1,16.34001584,-0.8999997,1,-2.6,2004,0,0.211885643,2,0,15.0382328,2.520301675,-2.268270751,2.520301675,-6.552784354,5.040603349,0,0,0,0,2.520301675,0.8999997
AR,2,1,21.0559226,-0.8999997,1,8,2006,0,-0.08945527,4,1,14.3972246,0.964001165,-0.867600759,0.964001165,7.712009318,3.856004659,0,0.964001165,0,0,0.964001165,0.8999997
IA,4,0,21.90203182,0.8999997,0,2.6,2004,0,0.570716256,2,0,11.2396694,0,-0.734596846,0,-2.122169373,-1.632437979,0,0,1,-0.81621899,-0.81621899,0.8999997
OH,1,1,-5.507200349,0.92,0,-6.8,2010,1,-0.899425376,8,1,8.6691087,1.72739055,1.589199306,0,-11.74625574,13.8191244,1.72739055,1.72739055,1,1.72739055,1.72739055,0.92
OH,1,0,-4.985655945,-0.92,1,-10.6,2008,0,-0.879477502,6,0,12.722372,0,2.212041523,-2.40439296,25.48656538,-14.42635776,0,0,1,-2.40439296,-2.40439296,0.92
WA,3,1,28.02507318,-0.98,0,10.6,2008,0,1.094419707,6,0,6.3420159,0.65541599,-0.64230767,0,6.947409495,3.93249594,0,0,0,0,0.65541599,0.98
VA,10,0,-12.37510026,-1.01,0,-8.6,2018,0,-2.972633918,16,1,5.6487202,0,0.987952188,0,8.412266154,-15.65072773,0,-0.978170483,1,-0.978170483,-0.978170483,1.01
VA,10,0,5.768553025,-1.01,0,1.1,2016,1,-0.292002608,14,0,6.8356375,0,1.396503001,0,-1.520943862,-19.35746734,-1.382676238,0,0,0,-1.382676238,1.01
FL,22,1,-8.727262751,1.02,0,-6.8,2010,0,-2.972028074,8,1,5.4341037,-1.50761445,-1.537766739,0,10.25177826,-12.0609156,0,-1.50761445,1,-1.50761445,-1.50761445,1.02
FL,22,1,9.360150865,1.02,0,10.6,2008,1,-1.716114363,6,0,4.7123288,-0.97427111,-0.993756532,0,-10.32727377,-5.84562666,-0.97427111,0,0,0,-0.97427111,1.02
NY,2,0,23.76600258,1.06651,0,5.7,2014,0,0.59587566,12,1,9.1836735,0,1.389693756,0,7.427266886,15.63635134,0,1.303029278,0,0,1.303029278,1.06651
MN,8,0,-8.89434292,-1.06672,0,-1.2,2012,1,-0.950587186,10,0,15.3846154,0,0.909790476,0,1.023463112,-8.528859268,-0.852885927,0,0,0,-0.852885927,1.06672
MI,11,0,6.036235957,1.08,1,-10.6,2008,0,-0.088430447,6,0,18,0,3.103093843,2.87323504,-30.45629142,17.23941024,0,0,1,2.87323504,2.87323504,1.08
MI,11,0,20.77914448,1.08,1,6.8,2010,0,-0.107494646,8,1,17.997543,0,0.900115284,0.833440078,5.667392528,6.667520622,0,0.833440078,0,0,0.833440078,1.08
NV,3,0,1.882177847,-1.1000003,0,-8,2006,0,-0.24102559,4,1,12.4069479,0,-1.613026996,0,-11.73110223,5.865551113,0,1.466387778,1,1.466387778,1.466387778,1.1000003
NV,3,0,14.05588115,-1.1000003,0,2.6,2004,1,0.374494957,2,0,13.4979424,0,-1.586259844,0,3.749340427,2.884108021,1.44205401,0,1,1.44205401,1.44205401,1.1000003
FL,10,0,21.36345528,1.18,1,-10.6,2008,0,0.727539515,6,0,18.7814421,0,4.312519025,3.65467714,-38.73957768,21.92806284,0,0,1,3.65467714,3.65467714,1.18
FL,10,0,31.84138089,1.18,1,6.8,2010,0,0.443080316,8,1,20.4395604,0,3.865039824,3.275457478,22.27311085,26.20365982,0,3.275457478,0,0,3.275457478,1.18
OR,5,1,10.46935472,1.22,1,-1.1,2016,0,-0.221532928,14,0,24.8037677,10.64390944,12.98556951,10.64390944,-11.70830038,149.0147321,0,0,1,10.64390944,10.64390944,1.22
OR,5,1,13.19500431,1.22,1,8.6,2018,0,-0.487777284,16,1,22.9184549,7.272142514,8.872013867,7.272142514,62.54042562,116.3542802,0,7.272142514,0,0,7.272142514,1.22
OH,15,0,0.478312712,1.2333297,0,-8,2006,0,-0.671382784,4,1,9.0206186,0,-2.367920901,0,15.35953217,-7.679766087,0,-1.919941522,1,-1.919941522,-1.919941522,1.2333297
OH,15,0,20.04253249,1.2333297,0,2.6,2004,0,0.410711069,2,0,10.5128205,0,-1.903111457,0,-4.011976513,-3.086135779,0,0,1,-1.54306789,-1.54306789,1.2333297
MI,9,0,5.347961474,1.2333317,0,-8,2006,0,-0.165990092,4,1,7.1488646,0,-4.676418284,0,30.33356417,-15.16678209,0,-3.791695522,1,-3.791695522,-3.791695522,1.2333317
MI,9,0,18.91026676,1.2333317,0,2.6,2004,0,0.339877696,2,0,9.3723849,0,-3.309649921,0,-6.977109073,-5.367006979,0,0,1,-2.68350349,-2.68350349,1.2333317
AR,1,1,33.13547372,-1.2333347,1,-2.6,2004,0,1.064643403,2,0,18.9915966,6.473665475,-7.984196266,6.473665475,-16.83153023,12.94733095,0,0,0,0,6.473665475,1.2333347
AR,1,1,38.52911156,-1.2333347,1,8,2006,0,0.761129716,4,1,21.5767635,8.143540065,-10.04371054,8.143540065,65.14832052,32.57416026,0,8.143540065,0,0,8.143540065,1.2333347
OH,12,0,12.54564525,1.28,1,-10.6,2008,0,0.337386334,6,0,14.1535112,0,-1.245764813,-0.97325376,10.31648986,-5.839522561,0,0,1,-0.97325376,-0.97325376,1.28
OH,12,0,14.80644922,1.28,1,6.8,2010,0,-0.496142993,8,1,16.2247475,0,-1.202374941,-0.939355422,-6.387616872,-7.514843378,0,-0.939355422,0,0,-0.939355422,1.28
CO,6,0,8.906091738,-1.29999,0,5.7,2014,0,-0.83530882,12,1,9.2204526,0,-1.741737494,0,7.636907756,16.07770054,0,1.339808378,0,0,1.339808378,1.29999
IA,2,1,7.469083755,1.32,1,-1.1,2016,0,-0.645694988,14,0,13.2668712,-0.892987065,-1.178742926,-0.892987065,0.982285771,-12.50181891,0,0,1,-0.892987065,-0.892987065,1.32
IA,2,1,12.1947634,1.32,1,8.6,2018,0,-0.674636184,16,1,18.1587838,2.512471414,3.316462266,2.512471414,21.60725416,40.19954262,0,2.512471414,0,0,2.512471414,1.32
CA,10,0,5.416373883,1.39989,0,-1.2,2012,0,-0.52216299,10,0,13.6594663,0,-3.608965454,0,3.093642032,-25.78035027,0,0,0,0,-2.578035027,1.39989
WI,3,1,19.33654826,1.45,1,8.6,2018,0,-0.255028346,16,1,20.3953279,4.749015514,6.886072495,4.749015514,40.84153342,75.98424822,0,4.749015514,0,0,4.749015514,1.45
IL,11,1,-14.69792606,-1.48,0,-6.8,2010,1,-1.58296056,8,1,9.6518021,2.71008395,-4.010924247,0,-18.42857086,21.6806716,2.71008395,2.71008395,1,2.71008395,2.71008395,1.48
NH,1,1,-11.61670901,-1.48,0,-6.8,2010,0,-3.021274149,8,1,5.7124922,-1.22922595,1.819254405,0,8.358736457,-9.833807596,0,-1.22922595,1,-1.22922595,-1.22922595,1.48
NH,1,1,5.895744163,-1.48,0,10.6,2008,1,-2.293574429,6,0,4.2599672,-1.42663271,2.111416411,0,-15.12230673,-8.55979626,-1.42663271,0,0,0,-1.42663271,1.48
KY,3,0,3.222539441,-1.5,0,4.8,2002,0,-1.820311065,0,1,6.846473,0,3.916308246,0,-12.53218639,0,0,-2.610872164,1,-2.610872164,-2.610872164,1.5
WA,2,1,4.299282711,1.5,1,-4.8,2002,1,-0.162758546,0,1,22.0858896,2.704672283,4.057008425,2.704672283,-12.98242696,0,2.704672283,2.704672283,0,0,2.704672283,1.5
OR,5,1,9.649475028,-1.5,1,-4.8,2002,0,-0.064249182,0,1,18.2006205,-1.180596817,1.770895225,-1.180596817,5.66686472,0,0,-1.180596817,0,0,-1.180596817,1.5
IA,4,0,11.69309308,1.5,0,4.8,2002,0,-0.596357238,0,1,10.2774923,0,1.230220704,0,3.936706252,0,0,0.820147136,1,0.820147136,0.820147136,1.5
NJ,7,0,17.03587939,1.5,0,4.8,2002,1,0.378463528,0,1,11.2970711,0,2.759588904,0,8.830684492,0,1.839725936,1.839725936,1,1.839725936,1.839725936,1.5
WA,8,0,22.47620921,-1.5,0,4.8,2002,0,0.861999085,0,1,7.8781513,0,2.368790796,0,-7.580130548,0,0,-1.579193864,1,-1.579193864,-1.579193864,1.5
AR,1,1,33.67240722,1.5,1,-4.8,2002,0,0.791872225,0,1,26.1616162,6.780398883,10.17059833,6.780398883,-32.54591464,0,0,6.780398883,0,0,6.780398883,1.5
NY,19,0,0.768923964,-1.50008,0,-1.2,2012,1,-0.147420497,10,0,31.5591735,0,-22.98373399,0,-18.38600661,153.2167217,15.32167217,0,0,0,15.32167217,1.50008
NV,3,0,24.6254778,1.50016,0,5.7,2014,0,0.53576965,12,1,11.2416107,0,5.041987472,0,19.15750893,40.33159774,0,3.360966478,0,0,3.360966478,1.50016
OR,4,1,10.9172225,1.52,0,-6.8,2010,0,0.433543137,8,1,7.2380952,0.29637705,0.450493117,0,-2.015363943,2.371016404,0,0.29637705,1,0.29637705,0.29637705,1.52
MN,8,1,1.402569875,1.53334,1,-5.7,2014,1,-0.289192191,12,1,19.8305085,2.48520939,3.810670966,2.48520939,-14.16569352,29.82251268,2.48520939,2.48520939,1,2.48520939,2.48520939,1.53334
IL,13,0,17.31186273,1.5336,0,5.7,2014,1,0.354480548,12,1,10.571185,0,4.126213338,0,15.33608244,32.28648934,2.690540778,2.690540778,0,0,2.690540778,1.5336
VA,11,0,11.88243795,1.5666637,0,-8,2006,0,0.459936306,4,1,11.1111111,0,0.267196026,0,-1.364407825,0.682203913,0,0.170550978,1,0.170550978,0.170550978,1.5666637
VA,11,0,21.98795083,1.5666637,0,2.6,2004,0,0.448877726,2,0,13.4239592,0,2.143306878,0,3.556984107,2.736141621,0,0,1,1.36807081,1.36807081,1.5666637
OH,1,0,4.497092908,1.5666647,0,-8,2006,0,-0.166782583,4,1,13.6401674,0,4.229379427,0,-21.59685823,10.79842911,0,2.699607278,1,2.699607278,2.699607278,1.5666647
OH,1,0,19.73173534,1.5666647,0,2.6,2004,0,0.310596477,2,0,12.1363259,0,0.126018608,0,0.209137527,0.160875021,0,0,1,0.08043751,0.08043751,1.5666647
NH,1,0,-2.629635853,1.5666657,0,-8,2006,0,-0.597748399,4,1,15.7284768,0,7.501064834,0,-38.30333343,19.15166671,0,4.787916678,1,4.787916678,4.787916678,1.5666657
NH,1,0,26.78339498,1.5666657,0,2.6,2004,1,1.195717104,2,0,13.283208,0,1.922799536,0,3.191030987,2.454639221,1.22731961,0,1,1.22731961,1.22731961,1.5666657
TN,8,1,46.36605913,-1.5666687,1,8,2006,0,1.053196371,4,1,23.2597623,9.826538865,-15.39493087,9.826538865,78.61231092,39.30615546,0,9.826538865,0,0,9.826538865,1.5666687
TN,8,1,48.70979205,-1.5666687,1,-2.6,2004,0,1.8061907,2,0,19.9486301,7.430698975,-11.6414435,7.430698975,-19.31981733,14.86139795,0,0,0,0,7.430698975,1.5666687
CA,10,0,12.29784018,1.59987,0,5.7,2014,0,-0.743212103,12,1,8.5786375,0,1.116698506,0,3.978561686,8.375919339,0,0.697993278,0,0,0.697993278,1.59987
CA,36,0,-5.878678979,1.63324,0,-1.2,2012,1,-0.957259161,10,0,14.1361257,0,-3.432050729,0,2.521650752,-21.01375627,-2.101375627,0,0,0,-2.101375627,1.63324
NY,3,1,15.52890549,-1.66663,1,1.2,2012,0,-0.031361232,10,0,11.9017632,-4.333770496,7.222791922,-4.333770496,-5.200524595,-43.33770496,0,0,1,-4.333770496,-4.333770496,1.66663
MN,3,0,22.23231616,1.68,1,6.8,2010,1,0.242206103,8,1,17.1463564,0,-0.029814157,-0.017746522,-0.120676352,-0.141972178,-0.017746522,-0.017746522,0,0,-0.017746522,1.68
CA,49,0,0.522641905,1.72,0,1.1,2016,0,-2.18134904,14,0,6.5318818,0,-2.900662934,0,-1.855075132,-23.61004714,0,0,0,0,-1.686431938,1.72
IA,3,1,5.400256408,1.7666673,1,8,2006,0,-1.013168523,4,1,18.5981308,5.164907365,9.124672949,5.164907365,41.31925892,20.65962946,0,5.164907365,0,0,5.164907365,1.7666673
PA,15,0,10.07554006,-1.7666673,0,-8,2006,1,0.871424252,4,1,12.3242349,0,-2.444492984,0,-11.06939823,5.534699113,1.383674778,1.383674778,1,1.383674778,1.383674778,1.7666673
IA,3,1,10.48505023,1.7666673,1,-2.6,2004,0,-0.285801886,2,0,15.9832636,3.465332475,6.122089566,3.465332475,-9.009864434,6.930664949,0,0,0,0,3.465332475,1.7666673
NY,3,1,19.17944148,1.77,1,8.6,2018,1,-0.027033311,16,1,19.4067797,3.760467314,6.656027145,3.760467314,32.3400189,60.16747702,3.760467314,3.760467314,0,0,3.760467314,1.77
NH,1,1,-3.600207633,-1.80005,1,-5.7,2014,1,-0.534419718,12,1,15.6491831,-1.69611601,3.053093624,-1.69611601,9.667861257,-20.35339212,-1.69611601,-1.69611601,1,-1.69611601,-1.69611601,1.80005
NY,19,0,19.76933792,-1.80005,0,5.7,2014,0,0.135903932,12,1,25.8823529,0,-32.40397571,0,102.6097395,216.0205041,0,18.00170868,0,0,18.00170868,1.80005
IL,6,0,-7.150510705,1.82,0,-8.6,2018,0,-1.663892598,16,1,8.1632653,0,2.796201803,0,-13.21282171,24.58199387,0,1.536374617,1,1.536374617,1.536374617,1.82
GA,2,1,2.881808399,1.82,0,-6.8,2010,0,-0.963194741,8,1,5.3063803,-1.63533785,-2.976314886,0,11.12029738,-13.0827028,0,-1.63533785,1,-1.63533785,-1.63533785,1.82
IL,6,0,18.44803008,1.82,0,1.1,2016,0,0.582086255,14,0,6.1946903,0,-3.682994658,0,-2.225985782,-28.33072814,0,0,0,0,-2.023623438,1.82
GA,2,1,37.89787019,1.82,0,10.6,2008,0,3.89221516,6,0,3.8073908,-1.87920911,-3.42016058,0,-19.91961657,-11.27525466,0,0,0,0,-1.87920911,1.82
AZ,2,0,13.91698529,1.84,0,1.1,2016,1,0.486584915,14,0,8.4720121,0,0.466804985,0,0.279068198,3.551777063,0.253698362,0,0,0,0.253698362,1.84
CA,36,1,8.368185241,-1.86655,1,-5.7,2014,1,0.155032519,12,1,23.5597592,6.21446009,-11.59960048,6.21446009,-35.42242251,74.57352108,6.21446009,6.21446009,1,6.21446009,6.21446009,1.86655
OH,12,0,14.60487104,1.8999977,0,-8,2006,0,0.727688582,4,1,10.4377104,0,-0.955413315,0,4.022797775,-2.011398887,0,-0.502849722,1,-0.502849722,-0.502849722,1.8999977
OH,12,0,23.92274004,1.8999977,0,2.6,2004,0,0.793612195,2,0,9.7315436,0,-4.416249754,0,-6.043296453,-4.648689579,0,0,1,-2.32434479,-2.32434479,1.8999977
MN,3,0,29.31411121,1.8999987,0,2.6,2004,0,0.68808242,2,0,19.0594059,0,13.30667417,0,18.20914553,14.00703502,0,0,1,7.00351751,7.00351751,1.8999987
MN,3,0,29.81417374,1.8999987,0,-8,2006,0,1.117712067,4,1,20.4030227,0,17.9786666,0,-75.69970063,37.84985031,0,9.462462578,1,9.462462578,9.462462578,1.8999987
NY,23,0,16.55798512,1.8999997,0,-8,2006,0,0.794355209,4,1,12.0204604,0,2.051810205,0,-8.639202225,4.319601113,0,1.079900278,1,1.079900278,1.079900278,1.8999997
